Brown University Keck/NASA Relab Spectrum PO-TXH-007/C1PO07,,
W,R,Standard Deviation
0.3,0.18572,0.19859
0.305,0.20048,0.12811
0.31,0.21752,0.0946
0.315,0.23742,0.07259
0.32,0.25851,0.05688
0.325,0.28609,0.04707
0.33,0.31651,0.03932
0.335,0.34819,0.03288
0.34,0.38079,0.02815
0.345,0.41101,0.02353
0.35,0.44141,0.02021
0.355,0.46602,0.01712
0.36,0.48889,0.01457
0.365,0.50565,0.01241
0.37,0.52073,0.01106
0.375,0.53083,0.00986
0.38,0.5406,0.00932
0.385,0.54751,0.00935
0.39,0.55935,0.00806
0.395,0.5664,0.00535
0.4,0.57052,0.00447
0.405,0.58639,0.00432
0.41,0.59633,0.0046
0.415,0.59962,0.00399
0.42,0.60347,0.00416
0.425,0.60693,0.00378
0.43,0.60957,0.00357
0.435,0.61449,0.0035
0.44,0.61896,0.00382
0.445,0.61933,0.00373
0.45,0.61976,0.00369
0.455,0.62519,0.00377
0.46,0.63196,0.00354
0.465,0.63767,0.00342
0.47,0.64245,0.00396
0.475,0.65234,0.00357
0.48,0.65851,0.00365
0.485,0.66136,0.00436
0.49,0.66319,0.00429
0.495,0.66753,0.00385
0.5,0.68096,0.00409
0.505,0.68949,0.00373
0.51,0.69584,0.00369
0.515,0.7007,0.00441
0.52,0.70322,0.00432
0.525,0.70898,0.00433
0.53,0.7115,0.00405
0.535,0.71725,0.00388
0.54,0.7223,0.00412
0.545,0.72674,0.00401
0.55,0.72959,0.00433
0.555,0.73334,0.00426
0.56,0.73469,0.00412
0.565,0.73548,0.00401
0.57,0.73532,0.00476
0.575,0.7362,0.0042
0.58,0.73533,0.00422
0.585,0.73534,0.00436
0.59,0.73312,0.00438
0.595,0.73278,0.00405
0.6,0.73124,0.0041
0.605,0.72996,0.00411
0.61,0.72604,0.00389
0.615,0.72349,0.00409
0.62,0.7193,0.00379
0.625,0.71409,0.00388
0.63,0.71288,0.0045
0.635,0.7123,0.00365
0.64,0.71342,0.00418
0.645,0.71457,0.00388
0.65,0.71572,0.00418
0.655,0.71763,0.00477
0.66,0.72012,0.00444
0.665,0.71962,0.00413
0.67,0.72043,0.0039
0.675,0.72174,0.00398
0.68,0.72021,0.00438
0.685,0.71641,0.00473
0.69,0.71544,0.00457
0.695,0.71245,0.00417
0.7,0.70842,0.00427
0.705,0.70635,0.00389
0.71,0.70049,0.00432
0.715,0.69696,0.00425
0.72,0.69223,0.00409
0.725,0.68082,0.00392
0.73,0.6759,0.00369
0.735,0.67026,0.00428
0.74,0.66408,0.00415
0.745,0.65803,0.00417
0.75,0.65075,0.0045
0.755,0.64459,0.00416
0.76,0.63739,0.00448
0.765,0.62963,0.00448
0.77,0.62283,0.00428
0.775,0.61587,0.00451
0.78,0.60897,0.00473
0.785,0.60256,0.00483
0.79,0.59666,0.00526
0.795,0.58984,0.00496
0.8,0.58295,0.0046
0.805,0.57841,0.00468
0.81,0.57249,0.00459
0.815,0.56812,0.0047
0.82,0.56344,0.00491
0.825,0.55873,0.00501
0.83,0.55517,0.00534
0.835,0.55222,0.00492
0.84,0.54786,0.00507
0.845,0.5449,0.00488
0.85,0.54225,0.00505
0.855,0.54104,0.00349
0.86,0.53803,0.00324
0.865,0.53499,0.00332
0.87,0.53344,0.00329
0.875,0.53037,0.00278
0.88,0.52845,0.00269
0.885,0.52434,0.00283
0.89,0.52201,0.00277
0.895,0.51751,0.00294
0.9,0.51632,0.00271
0.905,0.51057,0.00267
0.91,0.50768,0.00261
0.915,0.50175,0.00272
0.92,0.49805,0.00268
0.925,0.49221,0.00226
0.93,0.48719,0.00223
0.935,0.47976,0.00239
0.94,0.4753,0.00253
0.945,0.46792,0.00266
0.95,0.4613,0.00255
0.955,0.45524,0.00197
0.96,0.44681,0.00249
0.965,0.4416,0.00215
0.97,0.43385,0.00184
0.975,0.42875,0.00245
0.98,0.42049,0.00224
0.985,0.41605,0.00201
0.99,0.40911,0.00197
0.995,0.40433,0.00173
1,0.39764,0.00193
1.005,0.39302,0.00175
1.01,0.38987,0.00197
1.015,0.3859,0.00185
1.02,0.38129,0.00174
1.025,0.37844,0.00181
1.03,0.37625,0.00176
1.035,0.3738,0.0018
1.04,0.37225,0.00194
1.045,0.37045,0.00178
1.05,0.37179,0.00177
1.055,0.37008,0.00173
1.06,0.37174,0.00175
1.065,0.37113,0.00157
1.07,0.37368,0.00161
1.075,0.37488,0.00185
1.08,0.3779,0.00165
1.085,0.37958,0.00187
1.09,0.3841,0.00168
1.095,0.38645,0.00169
1.1,0.3907,0.00191
1.105,0.39412,0.00182
1.11,0.39802,0.00187
1.115,0.40257,0.00186
1.12,0.4053,0.00192
1.125,0.41065,0.00211
1.13,0.41386,0.00181
1.135,0.41775,0.0019
1.14,0.42032,0.00223
1.145,0.42454,0.00201
1.15,0.42684,0.00193
1.155,0.43165,0.0023
1.16,0.4327,0.0019
1.165,0.4367,0.00244
1.17,0.43691,0.00221
1.175,0.44083,0.00207
1.18,0.44293,0.00194
1.185,0.44485,0.002
1.19,0.4466,0.00234
1.195,0.44911,0.00206
1.2,0.45104,0.0023
1.205,0.45202,0.00233
1.21,0.45353,0.00261
1.215,0.4571,0.00238
1.22,0.45862,0.00252
1.225,0.46009,0.0023
1.23,0.46215,0.00243
1.235,0.46363,0.00244
1.24,0.46574,0.00237
1.245,0.46779,0.00204
1.25,0.47015,0.00232
1.255,0.47199,0.00234
1.26,0.47461,0.00229
1.265,0.47724,0.00226
1.27,0.48046,0.00209
1.275,0.48355,0.00236
1.28,0.48633,0.00235
1.285,0.48925,0.00215
1.29,0.49291,0.00243
1.295,0.4957,0.0022
1.3,0.49977,0.00244
1.305,0.50316,0.00254
1.31,0.50795,0.00227
