KC-OPX-hvn_2,
W,R
0.4,0.20351
0.405,0.20714
0.41,0.21039
0.415,0.21412
0.42,0.21719
0.425,0.22012
0.43,0.22321
0.435,0.22607
0.44,0.22729
0.445,0.22899
0.45,0.23211
0.455,0.23497
0.46,0.23709
0.465,0.23895
0.47,0.24026
0.475,0.242
0.48,0.24399
0.485,0.24625
0.49,0.24882
0.495,0.25103
0.5,0.25244
0.505,0.2541
0.51,0.2568
0.515,0.25916
0.52,0.26114
0.525,0.26291
0.53,0.2644
0.535,0.26569
0.54,0.26664
0.545,0.26811
0.55,0.27003
0.555,0.27224
0.56,0.27402
0.565,0.27585
0.57,0.27742
0.575,0.27915
0.58,0.28076
0.585,0.28252
0.59,0.28428
0.595,0.28602
0.6,0.2881
0.605,0.29007
0.61,0.29163
0.615,0.29351
0.62,0.29569
0.625,0.2978
0.63,0.29986
0.635,0.30204
0.64,0.30423
0.645,0.30655
0.65,0.30901
0.655,0.31153
0.66,0.31404
0.665,0.31653
0.67,0.31918
0.675,0.32182
0.68,0.32472
0.685,0.32741
0.69,0.33024
0.695,0.33296
0.7,0.3357
0.705,0.33837
0.71,0.34099
0.715,0.34344
0.72,0.34589
0.725,0.34834
0.73,0.35003
0.735,0.35164
0.74,0.35296
0.745,0.35381
0.75,0.3543
0.755,0.35422
0.76,0.3537
0.765,0.35253
0.77,0.35073
0.775,0.34814
0.78,0.34509
0.785,0.34127
0.79,0.33682
0.795,0.33161
0.8,0.32598
0.805,0.31995
0.81,0.31355
0.815,0.3071
0.82,0.30032
0.825,0.29391
0.83,0.28716
0.835,0.2803
0.84,0.27438
0.845,0.26869
0.85,0.26303
0.855,0.25276
0.86,0.24828
0.865,0.244
0.87,0.24051
0.875,0.23725
0.88,0.2345
0.885,0.23177
0.89,0.22953
0.895,0.2281
0.9,0.22667
0.905,0.2262
0.91,0.22575
0.915,0.22597
0.92,0.22644
0.925,0.22772
0.93,0.2295
0.935,0.23139
0.94,0.2342
0.945,0.23705
0.95,0.24039
0.955,0.24436
0.96,0.24845
0.965,0.25329
0.97,0.25836
0.975,0.26403
0.98,0.26989
0.985,0.27625
0.99,0.2828
0.995,0.28955
1,0.29637
1.005,0.30342
1.01,0.31073
1.015,0.318
1.02,0.3251
1.025,0.33243
1.03,0.3399
1.035,0.34705
1.04,0.3541
1.045,0.36104
1.05,0.3678
1.055,0.37452
1.06,0.38096
1.065,0.38722
1.07,0.39324
1.075,0.39927
1.08,0.40436
1.085,0.40883
1.09,0.4144
1.095,0.41899
1.1,0.4237
1.05,0.36957
1.055,0.37629
1.06,0.38242
1.065,0.38887
1.07,0.39481
1.075,0.40038
1.08,0.40562
1.085,0.41094
1.09,0.41552
1.095,0.42
1.1,0.42451
1.105,0.42847
1.11,0.432
1.115,0.4352
1.12,0.43861
1.125,0.44163
1.13,0.44473
1.135,0.44735
1.14,0.45014
1.145,0.45266
1.15,0.45511
1.155,0.45678
1.16,0.45964
1.165,0.46171
1.17,0.46445
1.175,0.46642
1.18,0.46775
1.185,0.46918
1.19,0.47044
1.195,0.47157
1.2,0.47304
1.205,0.47438
1.21,0.47583
1.215,0.47659
1.22,0.47834
1.225,0.47936
1.23,0.48
1.235,0.48133
1.24,0.48182
1.245,0.48279
1.25,0.48353
1.255,0.48402
1.26,0.48501
1.265,0.48513
1.27,0.48553
1.275,0.48553
1.28,0.4859
1.285,0.48624
1.29,0.48621
1.295,0.48621
1.3,0.48607
1.305,0.48577
1.31,0.48517
1.315,0.48458
1.32,0.48406
1.325,0.48325
1.33,0.48202
1.335,0.48086
1.34,0.47947
1.345,0.47739
1.35,0.47599
1.355,0.47399
1.36,0.47156
1.365,0.4696
1.37,0.46728
1.375,0.46481
1.38,0.46279
1.385,0.46045
1.39,0.45843
1.395,0.45643
1.4,0.45453
1.405,0.45303
1.41,0.45124
1.415,0.44968
1.42,0.44768
1.425,0.44559
1.43,0.44326
1.435,0.44097
1.44,0.4385
1.445,0.4359
1.45,0.43357
1.455,0.43056
1.46,0.42777
1.465,0.42538
1.47,0.42228
1.475,0.4195
1.48,0.41685
1.485,0.41395
1.49,0.41105
1.495,0.40817
1.5,0.40528
1.505,0.4021
1.51,0.39966
1.515,0.39665
1.52,0.39383
1.525,0.39087
1.53,0.38796
1.535,0.38507
1.54,0.38224
1.545,0.37961
1.55,0.377
1.555,0.37413
1.56,0.37156
1.565,0.36897
1.57,0.36634
1.575,0.36386
1.58,0.36131
1.585,0.35888
1.59,0.35638
1.595,0.35397
1.6,0.35278
1.605,0.35026
1.61,0.34804
1.615,0.34567
1.62,0.34347
1.625,0.34142
1.63,0.33928
1.635,0.33726
1.64,0.33526
1.645,0.33331
1.65,0.33132
1.655,0.3297
1.66,0.32774
1.665,0.32599
1.67,0.32441
1.675,0.32286
1.68,0.32134
1.685,0.31988
1.69,0.31851
1.695,0.31703
1.7,0.31563
1.705,0.31415
1.71,0.31276
1.715,0.31147
1.72,0.31009
1.725,0.309
1.73,0.30797
1.735,0.30695
1.74,0.30604
1.745,0.30494
1.75,0.30402
1.755,0.30301
1.76,0.30211
1.765,0.30141
1.77,0.3007
1.775,0.30002
1.78,0.29937
1.785,0.29879
1.79,0.29815
1.795,0.29774
1.8,0.29703
1.805,0.29647
1.81,0.29587
1.815,0.29544
1.82,0.29477
1.825,0.29455
1.83,0.2942
1.835,0.2941
1.84,0.2941
1.845,0.29415
1.85,0.29429
1.855,0.29455
1.86,0.295
1.865,0.29549
1.87,0.29561
1.875,0.29652
1.88,0.29714
1.885,0.2976
1.89,0.29804
1.895,0.29862
1.9,0.29949
1.905,0.30054
1.91,0.30155
1.915,0.30281
1.92,0.30424
1.925,0.30597
1.93,0.30752
1.935,0.30927
1.94,0.31093
1.945,0.31285
1.95,0.3145
1.955,0.31644
1.96,0.31825
1.965,0.32016
1.97,0.32233
1.975,0.3244
1.98,0.32595
1.985,0.32905
1.99,0.33107
1.995,0.33328
2,0.33571
2.005,0.33801
2.01,0.34047
2.015,0.34312
2.02,0.34583
2.025,0.34833
2.03,0.35094
2.035,0.35369
2.04,0.35656
2.045,0.35913
2.05,0.36191
2.055,0.36495
2.06,0.36777
2.065,0.37072
2.07,0.37391
2.075,0.37688
2.08,0.38006
2.085,0.38309
2.09,0.38632
2.095,0.38961
2.1,0.39305
2.105,0.39637
2.11,0.3998
2.115,0.4029
2.12,0.40616
2.125,0.40908
2.13,0.41219
2.135,0.41511
2.14,0.41804
2.145,0.42089
2.15,0.42369
2.155,0.42642
2.16,0.42918
2.165,0.4318
2.17,0.43478
2.175,0.43788
2.18,0.44087
2.185,0.4434
2.19,0.44609
2.195,0.44906
2.2,0.45112
2.205,0.45397
2.21,0.45647
2.215,0.45878
2.22,0.46121
2.225,0.46371
2.23,0.46571
2.235,0.46765
2.24,0.46961
2.245,0.47207
2.25,0.47453
2.255,0.47657
2.26,0.47879
2.265,0.48097
2.27,0.48337
2.275,0.4846
2.28,0.48592
2.285,0.487
2.29,0.48714
2.295,0.48726
2.3,0.48722
2.305,0.48749
2.31,0.48824
2.315,0.48906
2.32,0.49108
2.325,0.49315
2.33,0.49543
2.335,0.49768
2.34,0.50029
2.345,0.50261
2.35,0.50476
2.355,0.50669
2.36,0.50887
2.365,0.51022
2.37,0.51115
2.375,0.51212
2.38,0.51274
2.385,0.5132
2.39,0.51331
2.395,0.51455
2.4,0.51532
2.405,0.51643
2.41,0.51731
2.415,0.5181
2.42,0.51834
2.425,0.51848
2.43,0.51814
2.435,0.51864
