Brown University Keck/NASA Relab Spectrum PO-LAM-085-ID/CKPO85,
W,R
0.3,0.08687
0.305,0.08942
0.31,0.08725
0.315,0.08889
0.32,0.0931
0.325,0.10087
0.33,0.11083
0.335,0.12829
0.34,0.1571
0.345,0.18909
0.35,0.22816
0.355,0.26844
0.36,0.30486
0.365,0.33328
0.37,0.35957
0.375,0.37118
0.38,0.3787
0.385,0.38963
0.39,0.4068
0.395,0.42415
0.4,0.43936
0.405,0.46278
0.41,0.49133
0.415,0.50481
0.42,0.51217
0.425,0.51283
0.43,0.51543
0.435,0.51924
0.44,0.52778
0.445,0.52908
0.45,0.53009
0.455,0.53693
0.46,0.55219
0.465,0.56566
0.47,0.57149
0.475,0.58698
0.48,0.60662
0.485,0.60789
0.49,0.60839
0.495,0.61365
0.5,0.63922
0.505,0.65764
0.51,0.66919
0.515,0.67658
0.52,0.68125
0.525,0.68509
0.53,0.69198
0.535,0.69825
0.54,0.70598
0.545,0.71245
0.55,0.71852
0.555,0.72111
0.56,0.72109
0.565,0.72168
0.57,0.71935
0.575,0.7201
0.58,0.7188
0.585,0.71648
0.59,0.71333
0.595,0.71192
0.6,0.70929
0.605,0.70651
0.61,0.70323
0.615,0.69816
0.62,0.69263
0.625,0.68872
0.63,0.68515
0.635,0.68299
0.64,0.68355
0.645,0.68615
0.65,0.68838
0.655,0.69217
0.66,0.6938
0.665,0.69489
0.67,0.69499
0.675,0.69392
0.68,0.69135
0.685,0.68766
0.69,0.68345
0.695,0.67786
0.7,0.6715
0.705,0.66593
0.71,0.65816
0.715,0.65014
0.72,0.64279
0.725,0.63411
0.73,0.62532
0.735,0.61489
0.74,0.60361
0.745,0.59233
0.75,0.58007
0.755,0.56685
0.76,0.54842
0.765,0.53586
0.77,0.52295
0.775,0.51124
0.78,0.49824
0.785,0.48712
0.79,0.47654
0.795,0.46586
0.8,0.45534
0.805,0.44551
0.81,0.43608
0.815,0.42796
0.82,0.41894
0.825,0.41235
0.83,0.405
0.835,0.39829
0.84,0.39136
0.845,0.38534
0.85,0.37874
0.855,0.37362
0.86,0.36672
0.865,0.36089
0.87,0.35568
0.875,0.34827
0.88,0.34253
0.885,0.33572
0.89,0.32864
0.895,0.321
0.9,0.31454
0.905,0.30682
0.91,0.29809
0.915,0.28941
0.92,0.28102
0.925,0.27256
0.93,0.26318
0.935,0.25508
0.94,0.24597
0.945,0.23726
0.95,0.22897
0.955,0.22098
0.96,0.21308
0.965,0.20481
0.97,0.19849
0.975,0.19155
0.98,0.18527
0.985,0.17926
0.99,0.17362
0.995,0.16867
1,0.16409
1.005,0.15966
1.01,0.1556
1.015,0.15198
1.02,0.14862
1.025,0.14584
1.03,0.14324
1.035,0.141
1.04,0.13913
1.045,0.13741
1.05,0.13581
1.055,0.13479
1.06,0.13414
1.065,0.13356
1.07,0.13312
1.075,0.13329
1.08,0.13387
1.085,0.13479
1.09,0.13602
1.095,0.13743
1.1,0.13937
1.105,0.14128
1.11,0.14388
1.115,0.14621
1.12,0.14925
1.125,0.15218
1.13,0.15509
1.135,0.1582
1.14,0.16151
1.145,0.16489
1.15,0.16804
1.155,0.17161
1.16,0.17445
1.165,0.17778
1.17,0.18084
1.175,0.18425
1.18,0.18816
1.185,0.19053
1.19,0.19398
1.195,0.19692
1.2,0.19999
1.205,0.20349
1.21,0.2062
1.215,0.20957
1.22,0.21301
1.225,0.21624
1.23,0.21996
1.235,0.22366
1.24,0.22742
1.245,0.23201
1.25,0.23647
1.255,0.241
1.26,0.24517
1.265,0.24976
1.27,0.25543
1.275,0.26006
1.28,0.26528
1.285,0.27103
1.29,0.27716
1.295,0.28323
1.3,0.28929
1.305,0.29566
1.31,0.30248
1.315,0.30914
1.32,0.31724
1.325,0.3247
1.33,0.33125
1.335,0.33939
1.34,0.34753
1.345,0.35542
1.35,0.3645
1.355,0.37502
1.36,0.38493
1.365,0.39676
1.37,0.40626
1.375,0.4138
1.38,0.42282
1.385,0.43852
1.39,0.44501
1.395,0.45577
1.4,0.46567
1.405,0.4748
1.41,0.48816
1.415,0.49808
1.42,0.50857
1.425,0.51776
1.43,0.52808
1.435,0.54028
1.44,0.55166
1.445,0.56135
1.45,0.57182
1.455,0.58444
1.46,0.59195
1.465,0.60299
1.47,0.61529
1.475,0.62479
1.48,0.63625
1.485,0.64428
1.49,0.65549
1.495,0.66472
1.5,0.67449
1.505,0.68353
1.51,0.69384
1.515,0.70006
1.52,0.71093
1.525,0.71726
1.53,0.72828
1.535,0.73624
1.54,0.74304
1.545,0.74956
1.55,0.75791
1.555,0.76467
1.56,0.77214
1.565,0.77776
1.57,0.78415
1.575,0.78835
1.58,0.79454
1.585,0.80036
1.59,0.80483
1.595,0.8099
1.6,0.81593
1.605,0.81866
1.61,0.82443
1.615,0.8281
1.62,0.83248
1.625,0.83443
1.63,0.83887
1.635,0.84348
1.64,0.84583
1.645,0.85132
1.65,0.85311
1.655,0.85475
1.66,0.8537
1.665,0.85575
1.67,0.85532
1.675,0.85961
1.68,0.86323
1.685,0.86281
1.69,0.86275
1.695,0.86509
1.7,0.86696
1.705,0.86683
1.71,0.86702
1.715,0.86785
1.72,0.86765
1.725,0.86764
