Brown University Keck/NASA Relab Spectrum OC-TXH-019-P/C1OC19P,
W,R
0.25,0.165909
0.255,0.170188
0.26,0.171487
0.265,0.170149
0.27,0.17348
0.275,0.178222
0.28,0.18258
0.285,0.186239
0.29,0.189774
0.295,0.193793
0.3,0.198096
0.305,0.202855
0.31,0.208304
0.315,0.213849
0.32,0.220818
0.325,0.226419
0.33,0.23208
0.335,0.237562
0.34,0.242735
0.345,0.247682
0.35,0.252232
0.355,0.256857
0.36,0.260928
0.365,0.264599
0.37,0.26782
0.375,0.270664
0.38,0.272624
0.385,0.27435
0.39,0.276498
0.395,0.277866
0.4,0.279047
0.405,0.280391
0.41,0.281711
0.415,0.282611
0.42,0.284056
0.425,0.284758
0.43,0.285508
0.435,0.286358
0.44,0.287122
0.445,0.287494
0.45,0.287739
0.455,0.2882
0.46,0.28858
0.465,0.289008
0.47,0.289352
0.475,0.289705
0.48,0.289969
0.485,0.290063
0.49,0.290052
0.495,0.289862
0.5,0.290032
0.505,0.28992
0.51,0.290279
0.515,0.290134
0.52,0.290527
0.525,0.290887
0.53,0.290663
0.535,0.290696
0.54,0.290722
0.545,0.29055
0.55,0.290399
0.555,0.290172
0.56,0.290093
0.565,0.289758
0.57,0.28925
0.575,0.288803
0.58,0.28834
0.585,0.287891
0.59,0.287539
0.595,0.287013
0.6,0.286534
0.605,0.285971
0.61,0.285874
0.615,0.285645
0.62,0.285571
0.625,0.285344
0.63,0.285135
0.635,0.28479
0.64,0.284734
0.645,0.284799
0.65,0.284645
0.655,0.284354
0.66,0.284075
0.665,0.284791
0.67,0.283659
0.675,0.283498
0.68,0.283322
0.685,0.282962
0.69,0.282575
0.695,0.282334
0.7,0.282027
0.705,0.281962
0.71,0.28173
0.715,0.28125
0.72,0.280776
0.725,0.280412
0.73,0.280107
0.735,0.279209
0.74,0.278815
0.745,0.278234
0.75,0.277621
0.755,0.276872
0.76,0.275997
0.765,0.274762
0.77,0.273846
0.775,0.272899
0.78,0.271985
0.785,0.271014
0.79,0.269865
0.795,0.268839
0.8,0.26762
0.805,0.266242
0.81,0.26459
0.815,0.263213
0.82,0.261649
0.825,0.2603
0.83,0.258713
0.835,0.257098
0.84,0.255339
0.845,0.253702
0.85,0.251951
0.855,0.250266
0.86,0.248874
0.865,0.247586
0.87,0.245878
0.875,0.245144
0.88,0.24409
0.885,0.24296
0.89,0.241871
0.895,0.241167
0.9,0.240462
0.905,0.239741
0.91,0.239103
0.915,0.238564
0.92,0.237977
0.925,0.237432
0.93,0.237169
0.935,0.236889
0.94,0.236745
0.945,0.236778
0.95,0.236921
0.955,0.236947
0.96,0.23713
0.965,0.237213
0.97,0.237443
0.975,0.237711
0.98,0.238029
0.985,0.238266
0.99,0.238333
0.995,0.238552
1,0.238473
1.005,0.23852
1.01,0.238685
1.015,0.238917
1.02,0.239074
1.025,0.239243
1.03,0.239287
1.035,0.23941
1.04,0.239069
1.045,0.239049
1.05,0.238952
1.055,0.238909
1.06,0.238955
1.065,0.238915
1.07,0.238987
1.075,0.23927
1.08,0.239287
1.085,0.239188
1.09,0.239218
1.095,0.239314
1.1,0.239374
1.105,0.23932
