Brown University Keck/NASA Relab Spectrum OC-TXH-013-P/C1OC13P,
W,R
0.2,0.088901
0.205,0.089129
0.21,0.09126
0.215,0.095261
0.22,0.099721
0.225,0.103996
0.23,0.107918
0.235,0.111631
0.24,0.115553
0.245,0.120059
0.25,0.12442
0.255,0.128022
0.26,0.129984
0.265,0.129818
0.27,0.13324
0.275,0.137723
0.28,0.141857
0.285,0.145632
0.29,0.149288
0.295,0.153505
0.3,0.158404
0.305,0.164095
0.31,0.170755
0.315,0.178356
0.32,0.187165
0.325,0.195799
0.33,0.205074
0.335,0.214963
0.34,0.224634
0.345,0.234325
0.35,0.243964
0.355,0.253967
0.36,0.262897
0.365,0.271395
0.37,0.278843
0.375,0.285491
0.38,0.290782
0.385,0.295339
0.39,0.299878
0.395,0.303181
0.4,0.305528
0.405,0.30817
0.41,0.311099
0.415,0.313234
0.42,0.314803
0.425,0.31604
0.43,0.317012
0.435,0.317992
0.44,0.31845
0.445,0.318473
0.45,0.318336
0.455,0.318513
0.46,0.318989
0.465,0.31959
0.47,0.320087
0.475,0.320896
0.48,0.321572
0.485,0.321859
0.49,0.32164
0.495,0.321691
0.5,0.322066
0.505,0.32225
0.51,0.322712
0.515,0.323036
0.52,0.323064
0.525,0.322689
0.53,0.322927
0.535,0.322887
0.54,0.3228
0.545,0.322765
0.55,0.322634
0.555,0.322336
0.56,0.322142
0.565,0.32177
0.57,0.32149
0.575,0.321097
0.58,0.320556
0.585,0.320112
0.59,0.319644
0.595,0.319246
0.6,0.318694
0.605,0.318314
0.61,0.317733
0.615,0.317269
0.62,0.316752
0.625,0.316467
0.63,0.31599
0.635,0.315473
0.64,0.31536
0.645,0.31517
0.65,0.314861
0.655,0.314516
0.66,0.31399
0.665,0.312819
0.67,0.313451
0.675,0.313138
0.68,0.312632
0.685,0.312276
0.69,0.311947
0.695,0.31142
0.7,0.310886
0.705,0.310528
0.71,0.310157
0.715,0.309533
0.72,0.30886
0.725,0.308374
0.73,0.30761
0.735,0.307179
0.74,0.306649
0.745,0.306046
0.75,0.304968
0.755,0.3038
0.76,0.302059
0.765,0.301347
0.77,0.300178
0.775,0.299065
0.78,0.29795
0.785,0.296927
0.79,0.295798
0.795,0.294322
0.8,0.292634
0.805,0.291359
0.81,0.289928
0.815,0.288233
0.82,0.286811
0.825,0.285439
0.83,0.283805
0.835,0.281985
0.84,0.280102
0.845,0.278526
0.85,0.277031
0.855,0.275457
0.86,0.274041
0.865,0.27269
0.87,0.272103
0.875,0.269968
0.88,0.2694
0.885,0.267922
0.89,0.266831
0.895,0.265769
0.9,0.264708
0.905,0.263749
0.91,0.262733
0.915,0.262055
0.92,0.261217
0.925,0.260491
0.93,0.259794
0.935,0.25912
0.94,0.258546
0.945,0.258037
0.95,0.257618
0.955,0.257103
0.96,0.256775
0.965,0.256522
0.97,0.2561
0.975,0.255787
0.98,0.255748
0.985,0.255314
0.99,0.254848
0.995,0.254423
1,0.254169
1.005,0.253926
1.01,0.253532
1.015,0.253314
1.02,0.252991
1.025,0.252881
1.03,0.252637
1.035,0.252385
1.04,0.25215
1.045,0.251807
1.05,0.251695
1.055,0.251669
1.06,0.251483
1.065,0.251208
1.07,0.251103
1.075,0.250944
1.08,0.251075
1.085,0.251481
1.09,0.251646
1.095,0.251959
1.1,0.251994
1.105,0.252227
1.11,0.252404
1.115,0.252935
1.12,0.253155
1.125,0.25369
1.13,0.25403
1.135,0.254189
1.14,0.254458
1.145,0.254635
1.15,0.254696
1.155,0.254553
1.16,0.254565
1.165,0.254556
1.17,0.254806
1.175,0.254644
1.18,0.254538
1.185,0.254444
1.19,0.254335
1.195,0.254027
1.2,0.253844
1.205,0.253743
1.21,0.253467
1.215,0.253239
1.22,0.253378
1.225,0.25319
1.23,0.25299
1.235,0.252989
1.24,0.252923
1.245,0.252546
1.25,0.252351
1.255,0.252292
1.26,0.252162
1.265,0.251905
1.27,0.251768
1.275,0.251602
1.28,0.25122
1.285,0.250961
1.29,0.25085
1.295,0.250692
1.3,0.250526
1.305,0.250476
1.31,0.250483
1.315,0.250556
1.32,0.250485
1.325,0.250562
1.33,0.250574
1.335,0.250387
1.34,0.2503
1.345,0.25016
1.35,0.250004
1.355,0.24988
1.36,0.249893
1.365,0.249943
1.37,0.249916
1.375,0.249773
1.38,0.249891
1.385,0.250019
1.39,0.250067
1.395,0.249958
1.4,0.249687
1.405,0.249467
1.41,0.24951
1.415,0.249624
1.42,0.249489
1.425,0.249424
1.43,0.249482
1.435,0.249185
1.44,0.248883
1.445,0.248833
1.45,0.248618
1.455,0.248605
1.46,0.248375
1.465,0.248099
1.47,0.248182
1.475,0.248019
1.48,0.247809
1.485,0.247655
1.49,0.247578
1.495,0.247353
1.5,0.247234
1.505,0.247031
1.51,0.246773
1.515,0.246424
1.52,0.246183
1.525,0.246078
1.53,0.245676
1.535,0.245366
1.54,0.244958
1.545,0.24433
1.55,0.244066
1.555,0.243858
1.56,0.243637
1.565,0.243293
1.57,0.242832
1.575,0.242408
1.58,0.24208
