KC-OPX-hvn_3,
W,R
0.4,0.1777
0.405,0.18049
0.41,0.18328
0.415,0.18641
0.42,0.18915
0.425,0.19147
0.43,0.19449
0.435,0.19695
0.44,0.19816
0.445,0.19975
0.45,0.20269
0.455,0.20516
0.46,0.20715
0.465,0.20868
0.47,0.21015
0.475,0.21181
0.48,0.21366
0.485,0.21581
0.49,0.21808
0.495,0.22
0.5,0.22148
0.505,0.22307
0.51,0.22547
0.515,0.22749
0.52,0.22945
0.525,0.23117
0.53,0.23269
0.535,0.234
0.54,0.23504
0.545,0.23655
0.55,0.2383
0.555,0.24021
0.56,0.24197
0.565,0.24391
0.57,0.24541
0.575,0.2471
0.58,0.2487
0.585,0.25052
0.59,0.2522
0.595,0.25391
0.6,0.25603
0.605,0.25784
0.61,0.25958
0.615,0.26134
0.62,0.26342
0.625,0.26547
0.63,0.26758
0.635,0.2698
0.64,0.27193
0.645,0.27424
0.65,0.27649
0.655,0.27898
0.66,0.28139
0.665,0.28386
0.67,0.28651
0.675,0.28921
0.68,0.29199
0.685,0.2946
0.69,0.29723
0.695,0.2999
0.7,0.30271
0.705,0.30535
0.71,0.308
0.715,0.31051
0.72,0.31296
0.725,0.31546
0.73,0.3173
0.735,0.31911
0.74,0.32067
0.745,0.32181
0.75,0.32259
0.755,0.32291
0.76,0.3228
0.765,0.32207
0.77,0.32089
0.775,0.31897
0.78,0.31649
0.785,0.31334
0.79,0.30965
0.795,0.30531
0.8,0.30054
0.805,0.29532
0.81,0.28976
0.815,0.2841
0.82,0.27815
0.825,0.27245
0.83,0.2665
0.835,0.26009
0.84,0.25511
0.845,0.24992
0.85,0.24496
0.855,0.2349
0.86,0.23111
0.865,0.22769
0.87,0.22469
0.875,0.22169
0.88,0.2191
0.885,0.21667
0.89,0.21472
0.895,0.21318
0.9,0.21194
0.905,0.21158
0.91,0.21156
0.915,0.21156
0.92,0.21184
0.925,0.21289
0.93,0.21465
0.935,0.21665
0.94,0.21905
0.945,0.22203
0.95,0.2254
0.955,0.22935
0.96,0.23311
0.965,0.23768
0.97,0.24278
0.975,0.24834
0.98,0.25406
0.985,0.26023
0.99,0.26666
0.995,0.27324
1,0.28009
1.005,0.28688
1.01,0.29402
1.015,0.30112
1.02,0.30804
1.025,0.3152
1.03,0.32259
1.035,0.32972
1.04,0.33653
1.045,0.34351
1.05,0.35017
1.055,0.35693
1.06,0.36331
1.065,0.36932
1.07,0.37491
1.075,0.38083
1.08,0.3861
1.085,0.39092
1.09,0.39616
1.095,0.4004
1.1,0.40516
1.05,0.35138
1.055,0.35794
1.06,0.36428
1.065,0.37038
1.07,0.37622
1.075,0.38163
1.08,0.38705
1.085,0.39204
1.09,0.39689
1.095,0.40138
1.1,0.40569
1.105,0.40972
1.11,0.41311
1.115,0.41648
1.12,0.41969
1.125,0.42294
1.13,0.42571
1.135,0.42848
1.14,0.43129
1.145,0.43405
1.15,0.43636
1.155,0.43833
1.16,0.44115
1.165,0.44312
1.17,0.44618
1.175,0.44839
1.18,0.45005
1.185,0.45138
1.19,0.45289
1.195,0.45426
1.2,0.45554
1.205,0.4572
1.21,0.45853
1.215,0.4595
1.22,0.46139
1.225,0.4624
1.23,0.46343
1.235,0.46479
1.24,0.46515
1.245,0.46617
1.25,0.46707
1.255,0.46783
1.26,0.46867
1.265,0.46896
1.27,0.46982
1.275,0.46991
1.28,0.47053
1.285,0.47083
1.29,0.47075
1.295,0.47079
1.3,0.47088
1.305,0.47059
1.31,0.47009
1.315,0.46989
1.32,0.46942
1.325,0.46887
1.33,0.46796
1.335,0.46706
1.34,0.46581
1.345,0.46401
1.35,0.46288
1.355,0.46112
1.36,0.45893
1.365,0.4569
1.37,0.45477
1.375,0.45236
1.38,0.45039
1.385,0.44815
1.39,0.44613
1.395,0.44429
1.4,0.44234
1.405,0.44082
1.41,0.4394
1.415,0.43781
1.42,0.43587
1.425,0.43394
1.43,0.43177
1.435,0.42955
1.44,0.42715
1.445,0.4247
1.45,0.42237
1.455,0.4195
1.46,0.41692
1.465,0.41459
1.47,0.41172
1.475,0.40904
1.48,0.40634
1.485,0.40363
1.49,0.40072
1.495,0.39799
1.5,0.39529
1.505,0.39257
1.51,0.38993
1.515,0.38699
1.52,0.38419
1.525,0.38151
1.53,0.37858
1.535,0.37585
1.54,0.37311
1.545,0.37044
1.55,0.36785
1.555,0.36513
1.56,0.36262
1.565,0.36016
1.57,0.35762
1.575,0.35522
1.58,0.35267
1.585,0.35036
1.59,0.34795
1.595,0.34563
1.6,0.34461
1.605,0.34236
1.61,0.34003
1.615,0.33786
1.62,0.33583
1.625,0.33357
1.63,0.33156
1.635,0.3295
1.64,0.32767
1.645,0.32582
1.65,0.32394
1.655,0.32214
1.66,0.32045
1.665,0.31882
1.67,0.31725
1.675,0.31575
1.68,0.31426
1.685,0.31297
1.69,0.31149
1.695,0.31006
1.7,0.30875
1.705,0.30731
1.71,0.30594
1.715,0.3047
1.72,0.30345
