Brown University Keck/NASA Relab Spectrum PO-LAM-087-ID/CKPO87,
W,R
0.3,0.09785
0.305,0.09823
0.31,0.09869
0.315,0.10001
0.32,0.10434
0.325,0.10909
0.33,0.11677
0.335,0.1284
0.34,0.14343
0.345,0.15982
0.35,0.18026
0.355,0.20249
0.36,0.22497
0.365,0.24298
0.37,0.25839
0.375,0.27072
0.38,0.27953
0.385,0.28935
0.39,0.30392
0.395,0.31469
0.4,0.3274
0.405,0.34754
0.41,0.37138
0.415,0.38395
0.42,0.3922
0.425,0.3961
0.43,0.40159
0.435,0.40741
0.44,0.41938
0.445,0.42149
0.45,0.42375
0.455,0.43196
0.46,0.44365
0.465,0.45427
0.47,0.4647
0.475,0.47389
0.48,0.48684
0.485,0.48571
0.49,0.48821
0.495,0.49068
0.5,0.50455
0.505,0.51763
0.51,0.52496
0.515,0.52998
0.52,0.53562
0.525,0.53929
0.53,0.54517
0.535,0.5521
0.54,0.56081
0.545,0.56594
0.55,0.57114
0.555,0.57478
0.56,0.57695
0.565,0.57863
0.57,0.57828
0.575,0.57736
0.58,0.57613
0.585,0.57296
0.59,0.57103
0.595,0.56911
0.6,0.56626
0.605,0.56089
0.61,0.55608
0.615,0.55075
0.62,0.54443
0.625,0.5386
0.63,0.53396
0.635,0.53306
0.64,0.53323
0.645,0.53633
0.65,0.54033
0.655,0.54209
0.66,0.54497
0.665,0.54614
0.67,0.54381
0.675,0.54462
0.68,0.54193
0.685,0.53867
0.69,0.53247
0.695,0.52696
0.7,0.52094
0.705,0.51394
0.71,0.50715
0.715,0.49804
0.72,0.48898
0.725,0.47877
0.73,0.46948
0.735,0.45886
0.74,0.44599
0.745,0.43432
0.75,0.42215
0.755,0.41002
0.76,0.39453
0.765,0.3816
0.77,0.37005
0.775,0.35779
0.78,0.34571
0.785,0.33535
0.79,0.32572
0.795,0.31677
0.8,0.30818
0.805,0.29966
0.81,0.29075
0.815,0.28459
0.82,0.27665
0.825,0.27028
0.83,0.26554
0.835,0.2594
0.84,0.25435
0.845,0.25007
0.85,0.24532
0.855,0.24066
0.86,0.23606
0.865,0.23277
0.87,0.22883
0.875,0.22463
0.88,0.22105
0.885,0.21651
0.89,0.21307
0.895,0.20869
0.9,0.20398
0.905,0.19917
0.91,0.19501
0.915,0.1898
0.92,0.18474
0.925,0.1793
0.93,0.17459
0.935,0.16993
0.94,0.16462
0.945,0.15967
0.95,0.15515
0.955,0.15089
0.96,0.14745
