Brown University Keck/NASA Relab Spectrum PO-LAM-085-A/CHPO85,
W,R
0.3,0.09736
0.305,0.09443
0.31,0.09431
0.315,0.10009
0.32,0.10534
0.325,0.11261
0.33,0.12249
0.335,0.13962
0.34,0.16029
0.345,0.19024
0.35,0.22717
0.355,0.26504
0.36,0.29976
0.365,0.32859
0.37,0.34855
0.375,0.36202
0.38,0.37011
0.385,0.37904
0.39,0.39387
0.395,0.40966
0.4,0.4234
0.405,0.44509
0.41,0.47381
0.415,0.48516
0.42,0.49011
0.425,0.4913
0.43,0.49384
0.435,0.49922
0.44,0.50892
0.445,0.50991
0.45,0.50711
0.455,0.51421
0.46,0.53088
0.465,0.54333
0.47,0.55088
0.475,0.56743
0.48,0.58656
0.485,0.58477
0.49,0.58491
0.495,0.58789
0.5,0.6171
0.505,0.63934
0.51,0.65156
0.515,0.65962
0.52,0.66551
0.525,0.67176
0.53,0.67865
0.535,0.68819
0.54,0.69944
0.545,0.70669
0.55,0.71299
0.555,0.71725
0.56,0.71952
0.565,0.72046
0.57,0.71895
0.575,0.71628
0.58,0.71259
0.585,0.70876
0.59,0.70515
0.595,0.69858
0.6,0.69629
0.605,0.6918
0.61,0.68572
0.615,0.67933
0.62,0.67376
0.625,0.66956
0.63,0.6643
0.635,0.66214
0.64,0.66302
0.645,0.66334
0.65,0.66645
0.655,0.66983
0.66,0.67541
0.665,0.67587
0.67,0.67582
0.675,0.67505
0.68,0.67265
0.685,0.66777
0.69,0.66051
0.695,0.65606
0.7,0.64652
0.705,0.63849
0.71,0.63287
0.715,0.62185
0.72,0.61328
0.725,0.60293
0.73,0.59264
0.735,0.58361
0.74,0.57164
0.745,0.55876
0.75,0.54702
0.755,0.53038
0.76,0.5208
0.765,0.50682
0.77,0.49498
0.775,0.48199
0.78,0.47055
0.785,0.45987
0.79,0.44879
0.795,0.43837
0.8,0.42706
0.805,0.41838
0.81,0.4101
0.815,0.40262
0.82,0.39456
0.825,0.38648
0.83,0.37948
0.835,0.37294
0.84,0.36694
0.845,0.36026
0.85,0.35436
0.855,0.34863
0.86,0.34271
0.865,0.33627
0.87,0.33163
0.875,0.32593
0.88,0.31992
0.885,0.31456
0.89,0.30821
0.895,0.30181
0.9,0.29477
0.905,0.28727
0.91,0.27975
0.915,0.27226
0.92,0.26476
0.925,0.25614
0.93,0.24769
0.935,0.23967
0.94,0.23159
0.945,0.22323
0.95,0.21487
0.955,0.20778
0.96,0.20021
0.965,0.1928
0.97,0.18601
0.975,0.17985
0.98,0.17381
0.985,0.16776
0.99,0.16276
0.995,0.15743
1,0.15275
1.005,0.14828
1.01,0.14454
1.015,0.14057
1.02,0.13741
1.025,0.13421
1.03,0.13232
1.035,0.13027
1.04,0.12791
1.045,0.12619
1.05,0.12467
1.055,0.12368
1.06,0.12248
1.065,0.12163
1.07,0.12123
1.075,0.12129
1.08,0.1216
1.085,0.1219
1.09,0.12245
1.095,0.12375
1.1,0.12523
1.105,0.1269
1.11,0.12877
1.115,0.131
1.12,0.13351
1.125,0.13573
1.13,0.13859
1.135,0.14113
1.14,0.1445
1.145,0.14675
1.15,0.15008
1.155,0.15264
1.16,0.15599
1.165,0.15878
1.17,0.16151
1.175,0.16452
1.18,0.16742
1.185,0.17022
1.19,0.17292
1.195,0.1758
1.2,0.17849
1.205,0.18125
1.21,0.18381
1.215,0.18738
1.22,0.19035
1.225,0.1937
1.23,0.19701
1.235,0.20019
1.24,0.20348
1.245,0.20705
1.25,0.21054
1.255,0.21471
1.26,0.21897
1.265,0.22312
1.27,0.22705
1.275,0.23183
1.28,0.23612
1.285,0.24102
1.29,0.2461
1.295,0.25107
1.3,0.25653
1.305,0.26215
1.31,0.26825
1.315,0.27352
1.32,0.28063
1.325,0.2868
1.33,0.29364
1.335,0.30074
1.34,0.30759
1.345,0.31463
1.35,0.32227
1.355,0.32937
1.36,0.33865
1.365,0.34727
1.37,0.35598
1.375,0.36615
1.38,0.37335
1.385,0.38275
1.39,0.39204
1.395,0.40137
1.4,0.41208
1.405,0.42262
1.41,0.4321
1.415,0.44133
1.42,0.45178
1.425,0.46161
1.43,0.47239
1.435,0.48261
1.44,0.49321
1.445,0.50393
1.45,0.51431
1.455,0.52519
1.46,0.53542
1.465,0.54625
1.47,0.55678
1.475,0.56756
1.48,0.57727
1.485,0.58782
1.49,0.59776
1.495,0.60717
1.5,0.61731
1.505,0.62633
1.51,0.63586
1.515,0.64393
1.52,0.65309
1.525,0.66226
1.53,0.67025
1.535,0.67884
1.54,0.68584
1.545,0.6946
1.55,0.70006
1.555,0.70347
1.56,0.71035
1.565,0.71537
1.57,0.72204
1.575,0.72838
1.58,0.73322
1.585,0.73887
1.59,0.74517
1.595,0.74998
1.6,0.75366
1.605,0.75921
1.61,0.76384
1.615,0.76696
1.62,0.77164
1.625,0.77487
1.63,0.77812
1.635,0.78205
1.64,0.78408
1.645,0.78745
1.65,0.7911
1.655,0.79272
1.66,0.80268
1.665,0.8023
1.67,0.80389
1.675,0.80519
1.68,0.8078
1.685,0.80915
1.69,0.80905
1.695,0.81116
1.7,0.81359
1.705,0.8143
1.71,0.81588
1.715,0.81715
1.72,0.81837
1.725,0.81962
1.73,0.8204
1.735,0.82122
1.74,0.823
1.745,0.82443
1.75,0.82561
1.755,0.82608
1.76,0.82687
1.765,0.82777
1.77,0.82896
1.775,0.83014
1.78,0.83056
1.785,0.83148
1.79,0.8324
1.795,0.83132
1.8,0.83242
1.805,0.83282
1.81,0.83273
1.815,0.83186
1.82,0.83334
1.825,0.83359
1.83,0.83415
1.835,0.83356
1.84,0.83882
1.845,0.83655
1.85,0.8383
1.855,0.83797
1.86,0.84075
1.865,0.83476
1.87,0.83596
1.875,0.84588
1.88,0.84266
1.885,0.84073
1.89,0.84096
1.895,0.83956
1.9,0.83656
1.905,0.84089
1.91,0.83842
1.915,0.83738
1.92,0.83875
1.925,0.84039
1.93,0.84088
1.935,0.83941
1.94,0.84072
1.945,0.84187
1.95,0.84208
1.955,0.84099
1.96,0.84218
1.965,0.84265
1.97,0.84306
1.975,0.84307
1.98,0.8431
1.985,0.84435
1.99,0.84434
1.995,0.84417
2,0.84407
2.005,0.84446
2.01,0.84484
2.015,0.8451
2.02,0.84515
2.025,0.84592
2.03,0.84606
2.035,0.84443
2.04,0.8448
2.045,0.84368
2.05,0.84433
2.055,0.84356
2.06,0.84351
2.065,0.84416
2.07,0.84296
2.075,0.84295
2.08,0.84288
2.085,0.84241
2.09,0.84167
2.095,0.84191
2.1,0.84243
2.105,0.84376
2.11,0.84263
2.115,0.84331
2.12,0.84344
2.125,0.84298
2.13,0.8414
2.135,0.83995
2.14,0.84096
2.145,0.84153
2.15,0.84137
2.155,0.8402
2.16,0.83946
2.165,0.83901
2.17,0.84118
2.175,0.84192
2.18,0.84112
2.185,0.84079
2.19,0.83984
2.195,0.83974
2.2,0.84065
2.205,0.8398
2.21,0.83972
2.215,0.83862
2.22,0.83895
2.225,0.83832
2.23,0.83776
2.235,0.83784
2.24,0.83627
2.245,0.83578
2.25,0.83277
2.255,0.82997
2.26,0.82599
2.265,0.82165
2.27,0.8171
2.275,0.81519
2.28,0.81298
2.285,0.81128
2.29,0.80852
2.295,0.8071
2.3,0.80495
2.305,0.80332
2.31,0.80303
2.315,0.80221
2.32,0.80495
2.325,0.8083
2.33,0.81072
2.335,0.81189
2.34,0.81232
2.345,0.81304
2.35,0.81314
2.355,0.8135
2.36,0.8129
2.365,0.81364
2.37,0.81424
2.375,0.81419
2.38,0.81448
2.385,0.81379
2.39,0.81402
2.395,0.81305
2.4,0.81225
2.405,0.81206
2.41,0.81234
2.415,0.81428
2.42,0.81507
2.425,0.81536
2.43,0.81442
2.435,0.81345
2.44,0.81105
2.445,0.80624
2.45,0.80302
2.455,0.80006
2.46,0.79722
2.465,0.79614
2.47,0.7982
2.475,0.80149
2.48,0.80247
2.485,0.80341
2.49,0.8019
2.495,0.80164
2.5,0.80028
2.505,0.79999
2.51,0.79892
2.515,0.8002
2.52,0.80266
2.525,0.80212
2.53,0.80185
2.535,0.8094
2.54,0.80485
2.545,0.80906
2.55,0.81114
2.555,0.80815
2.56,0.79856
2.565,0.8291
2.57,0.8124
2.575,0.81141
2.58,0.80413
2.585,0.81732
2.59,0.81107
2.595,0.82163
2.6,0.81008
