OWN_OPX_1,
W,R
0.500780212,0.369790266
0.50300102,0.371716865
0.50448156,0.373368236
0.505591964,0.374881992
0.507812773,0.376533363
0.508553043,0.378597576
0.510033582,0.380524175
0.511884256,0.382175546
0.51373493,0.383964531
0.515215469,0.38589113
0.517806413,0.387817729
0.520027222,0.389331486
0.5229883,0.390982857
0.524838974,0.392358999
0.527800053,0.393459913
0.530761131,0.395111283
0.534092344,0.397037882
0.536683288,0.398551639
0.539644367,0.400065395
0.542605445,0.401441538
0.546306793,0.402542451
0.550748411,0.403918594
0.555190029,0.405157122
0.558151107,0.406533264
0.56222259,0.407771792
0.564813534,0.409147934
0.567774612,0.410386462
0.57221623,0.41162499
0.574437039,0.413001132
0.578138387,0.413826818
0.5814696,0.41520296
0.584800814,0.416991945
0.587761892,0.417955245
0.590722971,0.419056158
0.595164588,0.420019458
0.598865936,0.421257986
0.602567284,0.422083671
0.605528363,0.423322199
0.608489441,0.424285499
0.61219079,0.425386413
0.615892138,0.427037783
0.618853216,0.427725854
0.622554564,0.428826768
0.625885778,0.429927682
0.62995726,0.431028596
0.632548204,0.431991895
0.635509283,0.432817581
0.638840496,0.433643266
0.641801574,0.434468951
0.644392518,0.435569865
0.647353597,0.436395551
0.650314675,0.437496464
0.652535484,0.438597378
0.655496562,0.439698292
0.658087506,0.440523977
0.661418719,0.441349663
0.663639528,0.442450576
0.665860337,0.443276262
0.668081146,0.444377176
0.671412359,0.445478089
0.673633168,0.446579003
0.675483842,0.447679917
0.678815055,0.448918445
0.681035864,0.449881745
0.683626808,0.450982658
0.685847617,0.451945958
0.6899191,0.452771643
0.693188624,0.453689071
0.696273081,0.4546065
0.699049092,0.455638606
0.701825103,0.456441356
0.704292668,0.457588141
0.707377125,0.458390891
0.70984469,0.459078962
0.711386919,0.459652355
0.713854484,0.460569783
0.717247387,0.461372532
0.719457914,0.462289961
0.722028295,0.463054484
0.724341637,0.463532311
0.72665498,0.464010138
0.728711284,0.464583531
0.730767589,0.465156924
0.732823893,0.465921447
0.735137236,0.466303709
0.737450578,0.466972667
0.740020959,0.467354928
0.74259134,0.467450494
0.744904682,0.46773719
0.748760253,0.46773719
0.75184471,0.467832756
0.754672129,0.467928321
0.757499547,0.468023887
0.75981289,0.468023887
0.761869194,0.468023887
0.763925499,0.467832756
0.766752918,0.467641625
0.768809222,0.467259363
0.770865527,0.46668597
0.772921831,0.466399274
0.774207021,0.466112578
0.77574925,0.465730316
0.777805554,0.46544362
0.779090745,0.464774662
0.781147049,0.464201269
0.782946316,0.463723442
