KC-OPX-hvn_0,
W,R
0.4,0.25768
0.405,0.26289
0.41,0.26758
0.415,0.27206
0.42,0.27521
0.425,0.27843
0.43,0.28123
0.435,0.28407
0.44,0.28551
0.445,0.28725
0.45,0.28992
0.455,0.29227
0.46,0.29474
0.465,0.29642
0.47,0.29708
0.475,0.29799
0.48,0.29948
0.485,0.30149
0.49,0.30387
0.495,0.30575
0.5,0.30677
0.505,0.30799
0.51,0.31058
0.515,0.31273
0.52,0.31428
0.525,0.3157
0.53,0.31692
0.535,0.31774
0.54,0.31839
0.545,0.31933
0.55,0.3209
0.555,0.32253
0.56,0.32395
0.565,0.32528
0.57,0.32662
0.575,0.3278
0.58,0.32917
0.585,0.33063
0.59,0.33195
0.595,0.33331
0.6,0.3349
0.605,0.33663
0.61,0.33791
0.615,0.33945
0.62,0.34126
0.625,0.34318
0.63,0.34501
0.635,0.34696
0.64,0.34881
0.645,0.35092
0.65,0.35305
0.655,0.35537
0.66,0.35765
0.665,0.36001
0.67,0.36261
0.675,0.36508
0.68,0.36766
0.685,0.37016
0.69,0.37273
0.695,0.37526
0.7,0.37772
0.705,0.3802
0.71,0.38267
0.715,0.38493
0.72,0.3871
0.725,0.38927
0.73,0.39069
0.735,0.39188
0.74,0.39283
0.745,0.39325
0.75,0.39339
0.755,0.39274
0.76,0.39161
0.765,0.38978
0.77,0.38735
0.775,0.38413
0.78,0.38028
0.785,0.37566
0.79,0.37035
0.795,0.36436
0.8,0.35786
0.805,0.35097
0.81,0.34368
0.815,0.33639
0.82,0.32882
0.825,0.32157
0.83,0.31414
0.835,0.30654
0.84,0.3
0.845,0.2938
0.85,0.28761
0.855,0.27851
0.86,0.27318
0.865,0.26825
0.87,0.26402
0.875,0.26011
0.88,0.2566
0.885,0.25354
0.89,0.25107
0.895,0.24903
0.9,0.24759
0.905,0.24692
0.91,0.24645
0.915,0.24614
0.92,0.24644
0.925,0.24732
0.93,0.24906
0.935,0.25122
0.94,0.25378
0.945,0.25675
0.95,0.26007
0.955,0.26413
0.96,0.26825
0.965,0.27306
0.97,0.27829
0.975,0.28408
0.98,0.29006
0.985,0.29656
0.99,0.30322
0.995,0.31005
1,0.31704
1.005,0.32428
1.01,0.33188
1.015,0.33929
1.02,0.34653
1.025,0.35391
1.03,0.36161
1.035,0.36904
1.04,0.37624
1.045,0.38355
1.05,0.39018
1.055,0.39712
1.06,0.40374
1.065,0.4099
1.07,0.4156
1.075,0.42159
1.08,0.42745
1.085,0.43212
1.09,0.43751
1.095,0.44173
1.1,0.44669
1.05,0.39144
1.055,0.39809
1.06,0.40471
1.065,0.41296
1.07,0.41687
1.075,0.4229
1.08,0.4278
1.085,0.43333
1.09,0.43786
1.095,0.44204
1.1,0.44664
1.105,0.45036
1.11,0.45397
1.115,0.45682
1.12,0.46051
1.125,0.46357
1.13,0.46628
1.135,0.46903
1.14,0.47152
1.145,0.47387
1.15,0.47642
1.155,0.47817
1.16,0.48092
1.165,0.48244
1.17,0.4849
1.175,0.48668
1.18,0.48825
1.185,0.48955
1.19,0.49079
1.195,0.49198
1.2,0.49301
1.205,0.49445
1.21,0.49508
1.215,0.49587
1.22,0.49752
1.225,0.49843
1.23,0.49894
1.235,0.50019
1.24,0.50046
1.245,0.5012
1.25,0.50191
1.255,0.5023
1.26,0.50297
1.265,0.50313
1.27,0.50345
1.275,0.5031
1.28,0.50345
1.285,0.50339
1.29,0.50325
1.295,0.5033
1.3,0.50263
1.305,0.50199
1.31,0.50124
1.315,0.50053
1.32,0.49989
1.325,0.49905
1.33,0.4978
1.335,0.49649
1.34,0.49458
1.345,0.49257
1.35,0.49102
1.355,0.48902
1.36,0.48653
1.365,0.48434
1.37,0.48182
1.375,0.47909
1.38,0.47687
1.385,0.47434
1.39,0.47203
1.395,0.46994
1.4,0.46782
1.405,0.46608
1.41,0.46422
1.415,0.46233
1.42,0.46023
1.425,0.45806
1.43,0.45563
1.435,0.45321
1.44,0.45056
1.445,0.44775
1.45,0.44515
1.455,0.44214
1.46,0.43924
1.465,0.43659
1.47,0.43353
1.475,0.4307
1.48,0.42777
1.485,0.42483
1.49,0.42183
1.495,0.41884
1.5,0.41603
1.505,0.41284
1.51,0.40993
1.515,0.40688
1.52,0.40396
1.525,0.40113
1.53,0.39816
1.535,0.39526
1.54,0.39237
1.545,0.38963
1.55,0.38691
1.555,0.38404
1.56,0.38138
1.565,0.37873
1.57,0.3761
1.575,0.37368
1.58,0.37106
1.585,0.36835
1.59,0.36592
1.595,0.36343
1.6,0.36202
1.605,0.35972
1.61,0.35731
1.615,0.35507
1.62,0.35272
1.625,0.35062
1.63,0.34844
1.635,0.34635
1.64,0.34437
1.645,0.34233
1.65,0.34027
1.655,0.33846
1.66,0.33668
1.665,0.33497
1.67,0.33336
1.675,0.33179
1.68,0.33025
1.685,0.32875
1.69,0.32736
1.695,0.32582
1.7,0.32447
1.705,0.32299
1.71,0.32148
1.715,0.32026
1.72,0.31893
1.725,0.31776
1.73,0.31668
1.735,0.31572
1.74,0.31463
1.745,0.3136
1.75,0.31268
1.755,0.31174
1.76,0.31079
1.765,0.30997
1.77,0.30944
1.775,0.3086
1.78,0.30798
1.785,0.30747
1.79,0.30685
1.795,0.3064
1.8,0.30582
1.805,0.30539
1.81,0.30491
1.815,0.3045
1.82,0.30405
1.825,0.30373
1.83,0.30348
1.835,0.30335
1.84,0.30341
1.845,0.30355
1.85,0.30362
1.855,0.30388
1.86,0.30442
1.865,0.30484
1.87,0.3049
1.875,0.30577
1.88,0.30623
1.885,0.30674
1.89,0.30711
1.895,0.30762
1.9,0.30859
1.905,0.30956
1.91,0.31055
1.915,0.3119
1.92,0.3132
1.925,0.31464
1.93,0.31605
1.935,0.31765
1.94,0.31897
1.945,0.32062
1.95,0.32227
1.955,0.32409
1.96,0.32587
1.965,0.32783
1.97,0.32956
1.975,0.33159
1.98,0.33313
1.985,0.33593
1.99,0.33783
1.995,0.34007
2,0.34261
2.005,0.34483
2.01,0.34734
2.015,0.34999
2.02,0.35271
2.025,0.35527
2.03,0.35789
2.035,0.36048
2.04,0.3633
2.045,0.36574
2.05,0.36837
2.055,0.3713
2.06,0.3742
2.065,0.37709
2.07,0.38004
2.075,0.38308
2.08,0.38613
2.085,0.38906
2.09,0.3923
2.095,0.3956
2.1,0.40498
2.105,0.40199
2.11,0.40547
2.115,0.40862
2.12,0.41206
2.125,0.41501
2.13,0.41814
2.135,0.42123
2.14,0.42436
2.145,0.4272
2.15,0.43029
2.155,0.43296
2.16,0.43569
2.165,0.4391
2.17,0.44176
2.175,0.44419
2.18,0.44684
2.185,0.44951
2.19,0.45208
2.195,0.45472
2.2,0.45674
2.205,0.46017
2.21,0.462
2.215,0.46437
2.22,0.46627
2.225,0.46857
2.23,0.47078
2.235,0.47262
2.24,0.47446
2.245,0.47685
2.25,0.47918
2.255,0.48119
2.26,0.4831
2.265,0.48521
2.27,0.48729
2.275,0.48858
2.28,0.48968
2.285,0.49058
2.29,0.49107
2.295,0.49135
2.3,0.49118
2.305,0.49154
2.31,0.49205
2.315,0.49289
2.32,0.49468
2.325,0.49643
2.33,0.49903
2.335,0.50153
2.34,0.5042
2.345,0.5065
2.35,0.50918
2.355,0.51097
2.36,0.51303
2.365,0.5141
2.37,0.51518
2.375,0.51582
2.38,0.51658
2.385,0.51712
2.39,0.51721
2.395,0.51805
2.4,0.51925
2.405,0.52044
2.41,0.51878
2.415,0.52189
2.42,0.52259
2.425,0.52236
2.43,0.5224
2.435,0.5225
2.44,0.52332
2.445,0.52229
2.45,0.52243
2.455,0.522
2.46,0.52221
2.465,0.52204
2.47,0.52215
2.475,0.52241
2.48,0.5219
2.485,0.5218
2.49,0.52202
2.495,0.52233
2.5,0.52405
