Brown University Keck/NASA Relab Spectrum PO-LAM-089-ID/CKPO89,
W,R
0.3,0.07815
0.305,0.0736
0.31,0.07085
0.315,0.07175
0.32,0.07593
0.325,0.08124
0.33,0.09309
0.335,0.10914
0.34,0.13176
0.345,0.15323
0.35,0.17995
0.355,0.20706
0.36,0.23316
0.365,0.25536
0.37,0.27207
0.375,0.28491
0.38,0.29337
0.385,0.30251
0.39,0.31712
0.395,0.32993
0.4,0.34076
0.405,0.36578
0.41,0.39007
0.415,0.40133
0.42,0.40673
0.425,0.41053
0.43,0.41405
0.435,0.41974
0.44,0.427
0.445,0.42498
0.45,0.42399
0.455,0.43062
0.46,0.44067
0.465,0.45203
0.47,0.45899
0.475,0.47054
0.48,0.48209
0.485,0.48591
0.49,0.49503
0.495,0.49896
0.5,0.51621
0.505,0.53256
0.51,0.54226
0.515,0.54889
0.52,0.55637
0.525,0.56004
0.53,0.56669
0.535,0.57461
0.54,0.58244
0.545,0.58873
0.55,0.59447
0.555,0.59807
0.56,0.60045
0.565,0.60045
0.57,0.60081
0.575,0.59912
0.58,0.59886
0.585,0.59752
0.59,0.59498
0.595,0.59332
0.6,0.58918
0.605,0.58499
0.61,0.5807
0.615,0.57601
0.62,0.56992
0.625,0.56435
0.63,0.56105
0.635,0.55854
0.64,0.55877
0.645,0.56087
0.65,0.56294
0.655,0.56606
0.66,0.56819
0.665,0.56917
0.67,0.56998
0.675,0.57005
0.68,0.56909
0.685,0.56647
0.69,0.56177
0.695,0.55695
0.7,0.55222
0.705,0.54713
0.71,0.54196
0.715,0.53548
0.72,0.52765
0.725,0.52089
0.73,0.51208
0.735,0.50299
0.74,0.49396
0.745,0.48195
0.75,0.47038
0.755,0.45978
0.76,0.44337
0.765,0.43123
0.77,0.41992
0.775,0.4093
0.78,0.39713
0.785,0.38692
0.79,0.37594
0.795,0.36615
0.8,0.35666
0.805,0.34784
0.81,0.33909
0.815,0.3317
0.82,0.32443
0.825,0.31753
0.83,0.31113
0.835,0.3046
0.84,0.29909
0.845,0.29378
0.85,0.28811
0.855,0.28317
0.86,0.27804
0.865,0.27381
0.87,0.26889
0.875,0.26414
0.88,0.25893
0.885,0.25426
0.89,0.24909
0.895,0.24383
0.9,0.23816
0.905,0.23259
0.91,0.22602
0.915,0.21892
0.92,0.21231
0.925,0.20544
0.93,0.19878
0.935,0.19189
0.94,0.18527
0.945,0.1784
0.95,0.17185
0.955,0.1656
0.96,0.15949
0.965,0.15403
0.97,0.14857
0.975,0.14306
0.98,0.13863
0.985,0.13411
0.99,0.13014
0.995,0.12668
1,0.12328
1.005,0.12024
1.01,0.11726
1.015,0.11573
1.02,0.11385
1.025,0.11463
1.03,0.11368
1.035,0.11232
1.04,0.11182
1.045,0.11074
1.05,0.11032
1.055,0.10993
1.06,0.10975
1.065,0.10999
1.07,0.11092
1.075,0.11251
1.08,0.11358
1.085,0.11524
1.09,0.11693
1.095,0.11922
1.1,0.12188
1.105,0.12451
1.11,0.12756
1.115,0.13083
1.12,0.13361
1.125,0.13685
1.13,0.14014
1.135,0.14288
1.14,0.14627
1.145,0.14919
1.15,0.15247
1.155,0.15492
1.16,0.15762
1.165,0.16045
1.17,0.16251
1.175,0.16479
1.18,0.16621
1.185,0.16764
1.19,0.17069
1.195,0.17241
1.2,0.17487
1.205,0.17695
1.21,0.17864
1.215,0.17989
1.22,0.18133
1.225,0.184
1.23,0.18546
1.235,0.18787
1.24,0.19067
1.245,0.19304
1.25,0.19544
1.255,0.19807
1.26,0.20188
1.265,0.20533
1.27,0.21048
1.275,0.21502
1.28,0.21943
1.285,0.22258
1.29,0.22651
1.295,0.23077
1.3,0.23478
1.305,0.24133
1.31,0.24755
1.315,0.25319
