KC-OPX-hvn_1,
W,R
0.4,0.2424
0.405,0.24706
0.41,0.25181
0.415,0.25619
0.42,0.25967
0.425,0.26325
0.43,0.26719
0.435,0.26954
0.44,0.27113
0.445,0.27322
0.45,0.27646
0.455,0.27947
0.46,0.28199
0.465,0.28373
0.47,0.28511
0.475,0.28658
0.48,0.28862
0.485,0.29092
0.49,0.29335
0.495,0.29524
0.5,0.29652
0.505,0.29828
0.51,0.30131
0.515,0.30353
0.52,0.30533
0.525,0.30694
0.53,0.30832
0.535,0.30933
0.54,0.30998
0.545,0.31144
0.55,0.31315
0.555,0.31496
0.56,0.31656
0.565,0.31808
0.57,0.31944
0.575,0.32091
0.58,0.32224
0.585,0.3238
0.59,0.32534
0.595,0.32678
0.6,0.3284
0.605,0.33012
0.61,0.33142
0.615,0.33292
0.62,0.33487
0.625,0.33695
0.63,0.33878
0.635,0.34074
0.64,0.34274
0.645,0.34486
0.65,0.34701
0.655,0.34946
0.66,0.35167
0.665,0.35404
0.67,0.35656
0.675,0.35903
0.68,0.36173
0.685,0.36426
0.69,0.36679
0.695,0.36937
0.7,0.37181
0.705,0.3743
0.71,0.37678
0.715,0.37912
0.72,0.38126
0.725,0.38348
0.73,0.38478
0.735,0.38616
0.74,0.3871
0.745,0.38753
0.75,0.38771
0.755,0.38719
0.76,0.38619
0.765,0.38435
0.77,0.38201
0.775,0.37883
0.78,0.37519
0.785,0.37066
0.79,0.36544
0.795,0.35961
0.8,0.35318
0.805,0.34644
0.81,0.33931
0.815,0.33218
0.82,0.32466
0.825,0.31758
0.83,0.31021
0.835,0.30254
0.84,0.29635
0.845,0.29018
0.85,0.28402
0.855,0.27268
0.86,0.26803
0.865,0.26376
0.87,0.26007
0.875,0.25664
0.88,0.25335
0.885,0.25051
0.89,0.24819
0.895,0.24655
0.9,0.24499
0.905,0.24413
0.91,0.24365
0.915,0.24372
0.92,0.24473
0.925,0.24653
0.93,0.24857
0.935,0.25035
0.94,0.25259
0.945,0.25526
0.95,0.25784
0.955,0.2614
0.96,0.2651
0.965,0.26973
0.97,0.27475
0.975,0.28048
0.98,0.28651
0.985,0.29291
0.99,0.2995
0.995,0.30629
1,0.31318
1.005,0.32028
1.01,0.32778
1.015,0.33515
1.02,0.34229
1.025,0.34961
1.03,0.3572
1.035,0.3647
1.04,0.3718
1.045,0.37885
1.05,0.38561
1.055,0.39251
1.06,0.39905
1.065,0.40499
1.07,0.41085
1.075,0.41702
1.08,0.42269
1.085,0.42747
1.09,0.43292
1.095,0.43763
1.1,0.44267
1.05,0.38739
1.055,0.39427
1.06,0.40084
1.065,0.40717
1.07,0.41295
1.075,0.41862
1.08,0.42398
1.085,0.42922
1.09,0.43383
1.095,0.43813
1.1,0.44282
1.105,0.44666
1.11,0.45031
1.115,0.4535
1.12,0.45676
1.125,0.46013
1.13,0.46264
1.135,0.46539
1.14,0.46769
1.145,0.47008
1.15,0.47244
1.155,0.47438
1.16,0.47692
1.165,0.47858
1.17,0.48147
1.175,0.48336
1.18,0.48485
1.185,0.48638
1.19,0.48743
1.195,0.48866
1.2,0.48981
1.205,0.491
1.21,0.49199
1.215,0.49294
1.22,0.49442
1.225,0.49552
1.23,0.49619
1.235,0.49731
1.24,0.49748
1.245,0.49842
1.25,0.4992
1.255,0.49964
1.26,0.50025
1.265,0.50037
1.27,0.50063
1.275,0.50045
1.28,0.50062
1.285,0.50062
1.29,0.50049
1.295,0.50023
1.3,0.49986
1.305,0.49931
1.31,0.49851
1.315,0.49796
1.32,0.49727
1.325,0.49669
1.33,0.49537
1.335,0.4942
1.34,0.49258
1.345,0.49063
1.35,0.48918
1.355,0.48722
1.36,0.48483
1.365,0.48259
1.37,0.48003
1.375,0.47738
1.38,0.47514
1.385,0.47248
1.39,0.47013
1.395,0.468
1.4,0.46584
1.405,0.46401
1.41,0.46212
1.415,0.46023
1.42,0.45809
1.425,0.45567
1.43,0.45333
1.435,0.45086
1.44,0.44813
1.445,0.44581
1.45,0.44286
1.455,0.43983
1.46,0.43688
1.465,0.43433
1.47,0.43113
1.475,0.42812
1.48,0.42532
1.485,0.42236
1.49,0.41923
1.495,0.41635
1.5,0.41335
1.505,0.41038
1.51,0.40746
1.515,0.40447
1.52,0.40141
1.525,0.39852
1.53,0.39542
1.535,0.39247
1.54,0.38959
1.545,0.38686
1.55,0.38408
1.555,0.38117
1.56,0.37861
1.565,0.37591
1.57,0.3732
1.575,0.37054
1.58,0.36803
1.585,0.36545
1.59,0.36291
1.595,0.3605
1.6,0.35918
1.605,0.35687
1.61,0.35441
1.615,0.35207
1.62,0.34974
1.625,0.34757
1.63,0.34536
1.635,0.34332
1.64,0.34188
1.645,0.33925
1.65,0.33727
1.655,0.33534
1.66,0.33348
1.665,0.33187
1.67,0.33027
1.675,0.32862
1.68,0.32712
1.685,0.32563
1.69,0.32411
1.695,0.32264
1.7,0.32128
1.705,0.31972
1.71,0.31827
1.715,0.31694
1.72,0.3156
1.725,0.31448
1.73,0.31332
1.735,0.31227
1.74,0.3113
1.745,0.31015
1.75,0.30925
1.755,0.30824
1.76,0.30723
1.765,0.30643
1.77,0.30583
1.775,0.30515
1.78,0.3045
1.785,0.30398
1.79,0.30334
1.795,0.30291
1.8,0.30241
1.805,0.30183
1.81,0.30141
1.815,0.30108
1.82,0.30057
1.825,0.30022
1.83,0.29999
1.835,0.29982
1.84,0.29972
1.845,0.29985
1.85,0.29988
1.855,0.30014
1.86,0.30057
1.865,0.30098
1.87,0.30108
1.875,0.30186
1.88,0.30237
1.885,0.30272
1.89,0.30325
1.895,0.30388
1.9,0.30468
1.905,0.30567
1.91,0.30666
1.915,0.30791
1.92,0.30917
1.925,0.31076
1.93,0.3122
1.935,0.31364
1.94,0.31526
1.945,0.31703
1.95,0.31867
1.955,0.32063
1.96,0.32223
1.965,0.32411
1.97,0.32603
1.975,0.32809
1.98,0.32959
1.985,0.33252
1.99,0.33456
1.995,0.33691
2,0.33936
2.005,0.34161
2.01,0.34412
2.015,0.34671
2.02,0.34931
2.025,0.35165
2.03,0.35432
2.035,0.35701
2.04,0.35977
2.045,0.36238
2.05,0.36491
2.055,0.36804
2.06,0.37094
2.065,0.37389
2.07,0.3767
2.075,0.37989
2.08,0.38301
2.085,0.38589
2.09,0.38923
2.095,0.39253
2.1,0.39583
2.105,0.39911
2.11,0.40243
2.115,0.40578
2.12,0.4092
2.125,0.4121
2.13,0.4152
2.135,0.41816
2.14,0.42115
2.145,0.42404
2.15,0.42686
2.155,0.42958
2.16,0.43223
2.165,0.43498
2.17,0.43796
2.175,0.44107
2.18,0.44388
2.185,0.44644
2.19,0.4492
2.195,0.45206
2.2,0.45407
2.205,0.45695
2.21,0.45938
2.215,0.46175
2.22,0.46414
2.225,0.46641
2.23,0.46857
2.235,0.47049
2.24,0.47257
2.245,0.47491
2.25,0.4773
2.255,0.47948
2.26,0.48141
2.265,0.48381
2.27,0.4859
2.275,0.48747
2.28,0.48851
2.285,0.48952
2.29,0.49
2.295,0.49023
2.3,0.48978
2.305,0.49004
2.31,0.49092
2.315,0.49211
2.32,0.4938
2.325,0.49574
2.33,0.49836
2.335,0.50079
2.34,0.50335
2.345,0.50596
2.35,0.50835
2.355,0.51048
2.36,0.51278
2.365,0.51351
2.37,0.51457
2.375,0.5153
2.38,0.51571
2.385,0.51648
2.39,0.51659
2.395,0.51789
2.4,0.51903
2.405,0.51986
2.41,0.5208
2.415,0.5217
2.42,0.52131
2.425,0.52162
2.43,0.52181
2.435,0.52183
2.44,0.52295
2.445,0.52208
2.45,0.52202
2.455,0.52182
2.46,0.52164
2.465,0.52165
2.47,0.52196
2.475,0.52201
2.48,0.52223
2.485,0.52233
2.49,0.52291
2.495,0.52305
2.5,0.525
