Brown University Keck/NASA Relab Spectrum PO-LAM-089-A/CHPO89,
W,R
0.3,0.12772
0.305,0.12452
0.31,0.12516
0.315,0.12827
0.32,0.13338
0.325,0.14217
0.33,0.15678
0.335,0.18011
0.34,0.20986
0.345,0.24323
0.35,0.27955
0.355,0.31928
0.36,0.35691
0.365,0.38524
0.37,0.40724
0.375,0.4238
0.38,0.43369
0.385,0.44668
0.39,0.46386
0.395,0.48045
0.4,0.49529
0.405,0.51955
0.41,0.54651
0.415,0.5585
0.42,0.56612
0.425,0.57013
0.43,0.57205
0.435,0.57657
0.44,0.58489
0.445,0.58293
0.45,0.57891
0.455,0.58698
0.46,0.60297
0.465,0.61541
0.47,0.62587
0.475,0.63871
0.48,0.65458
0.485,0.66128
0.49,0.66783
0.495,0.67405
0.5,0.69659
0.505,0.7171
0.51,0.72941
0.515,0.73861
0.52,0.74941
0.525,0.75865
0.53,0.76683
0.535,0.77954
0.54,0.78948
0.545,0.79801
0.55,0.80432
0.555,0.80939
0.56,0.81109
0.565,0.81135
0.57,0.81111
0.575,0.809
0.58,0.80587
0.585,0.80211
0.59,0.79867
0.595,0.79524
0.6,0.78989
0.605,0.78346
0.61,0.77634
0.615,0.76698
0.62,0.75813
0.625,0.74853
0.63,0.74339
0.635,0.73776
0.64,0.73921
0.645,0.74068
0.65,0.74221
0.655,0.74649
0.66,0.74839
0.665,0.7496
0.67,0.75124
0.675,0.74854
0.68,0.74949
0.685,0.74328
0.69,0.73527
0.695,0.73055
0.7,0.72208
0.705,0.71455
0.71,0.70408
0.715,0.69454
0.72,0.68447
0.725,0.67214
0.73,0.66003
0.735,0.6458
0.74,0.63132
0.745,0.61666
0.75,0.59986
0.755,0.58428
0.76,0.56564
0.765,0.54945
0.77,0.53397
0.775,0.51692
0.78,0.50381
0.785,0.48798
0.79,0.47367
0.795,0.46087
0.8,0.44671
0.805,0.43628
0.81,0.42619
0.815,0.41508
0.82,0.40469
0.825,0.39475
0.83,0.38593
0.835,0.37822
0.84,0.37141
0.845,0.36412
0.85,0.3572
0.855,0.35069
0.86,0.34415
0.865,0.33871
0.87,0.33258
0.875,0.32701
0.88,0.32143
0.885,0.31448
0.89,0.3091
0.895,0.30238
0.9,0.29543
0.905,0.28872
0.91,0.28149
0.915,0.27378
0.92,0.26511
0.925,0.25728
0.93,0.24835
0.935,0.24087
0.94,0.23222
0.945,0.22325
0.95,0.21559
0.955,0.20776
0.96,0.1996
0.965,0.19228
0.97,0.18514
0.975,0.17897
0.98,0.17303
0.985,0.16737
0.99,0.16219
0.995,0.1572
1,0.15288
1.005,0.14929
1.01,0.14572
1.015,0.14262
1.02,0.14016
1.025,0.13805
1.03,0.13596
1.035,0.13444
1.04,0.13299
1.045,0.13201
1.05,0.13204
1.055,0.13205
1.06,0.1316
1.065,0.13118
1.07,0.13164
1.075,0.13248
1.08,0.13383
1.085,0.13533
1.09,0.13745
1.095,0.13989
1.1,0.14254
1.105,0.14562
1.11,0.14857
1.115,0.1521
1.12,0.15563
1.125,0.1592
1.13,0.16302
1.135,0.16646
1.14,0.17043
1.145,0.17396
1.15,0.1772
1.155,0.18073
1.16,0.1838
1.165,0.1867
1.17,0.18979
1.175,0.19287
1.18,0.19479
1.185,0.19724
1.19,0.19906
1.195,0.2017
1.2,0.20338
1.205,0.20578
1.21,0.20809
1.215,0.21061
1.22,0.21244
1.225,0.21424
1.23,0.21605
1.235,0.21801
1.24,0.22066
1.245,0.22272
1.25,0.22558
1.255,0.22802
1.26,0.23137
1.265,0.23519
1.27,0.23907
1.275,0.2427
1.28,0.24694
1.285,0.25112
1.29,0.25665
1.295,0.26143
1.3,0.26692
1.305,0.27252
1.31,0.27872
1.315,0.28517
1.32,0.29213
1.325,0.29924
1.33,0.30666
1.335,0.31457
1.34,0.32366
1.345,0.33212
1.35,0.34033
1.355,0.34829
1.36,0.35845
1.365,0.36719
1.37,0.37795
1.375,0.3884
1.38,0.39941
1.385,0.40816
1.39,0.42102
1.395,0.43167
1.4,0.44467
1.405,0.45717
1.41,0.46887
1.415,0.48133
1.42,0.49353
1.425,0.506
1.43,0.51739
1.435,0.52968
1.44,0.54203
1.445,0.55552
1.45,0.56899
1.455,0.58075
1.46,0.59322
1.465,0.60442
1.47,0.61726
1.475,0.62858
1.48,0.64098
1.485,0.6521
1.49,0.6627
1.495,0.67448
1.5,0.68573
1.505,0.69692
1.51,0.70683
1.515,0.71655
1.52,0.72645
1.525,0.73599
1.53,0.74561
1.535,0.75445
1.54,0.76289
1.545,0.77045
1.55,0.77889
1.555,0.78679
1.56,0.79463
1.565,0.80219
1.57,0.80953
1.575,0.81548
1.58,0.82392
1.585,0.82983
1.59,0.83469
1.595,0.84578
1.6,0.85246
1.605,0.85209
1.61,0.85654
1.615,0.86091
1.62,0.86557
1.625,0.86935
1.63,0.87393
1.635,0.87677
1.64,0.88018
1.645,0.88352
1.65,0.88574
1.655,0.88867
1.66,0.89208
1.665,0.89477
1.67,0.89547
1.675,0.89588
1.68,0.89894
1.685,0.90081
1.69,0.90159
1.695,0.90272
1.7,0.90678
1.705,0.90703
1.71,0.90771
1.715,0.9103
1.72,0.91142
1.725,0.91202
1.73,0.9134
1.735,0.91482
1.74,0.91521
1.745,0.91714
1.75,0.91898
1.755,0.9198
1.76,0.92005
1.765,0.92057
1.77,0.92147
1.775,0.92333
1.78,0.92267
1.785,0.92358
1.79,0.92474
1.795,0.92388
1.8,0.92508
1.805,0.92571
1.81,0.92467
1.815,0.92541
1.82,0.9265
1.825,0.92752
1.83,0.92622
1.835,0.926
1.84,0.92967
1.845,0.92808
1.85,0.9295
1.855,0.92888
1.86,0.93225
1.865,0.92847
1.87,0.92915
1.875,0.93742
1.88,0.93254
1.885,0.93095
1.89,0.9308
1.895,0.92779
1.9,0.92487
1.905,0.92856
1.91,0.92637
1.915,0.92635
1.92,0.926
1.925,0.9283
1.93,0.92713
1.935,0.927
1.94,0.92854
1.945,0.9283
1.95,0.92805
1.955,0.93007
1.96,0.93001
1.965,0.93102
1.97,0.93119
1.975,0.93127
1.98,0.93159
1.985,0.93192
1.99,0.93204
1.995,0.93242
2,0.93293
2.005,0.93279
2.01,0.93252
2.015,0.93289
2.02,0.93252
2.025,0.93197
2.03,0.93129
2.035,0.93156
2.04,0.93173
2.045,0.93116
2.05,0.93085
2.055,0.93089
2.06,0.93097
2.065,0.92949
2.07,0.93042
2.075,0.92992
2.08,0.92987
2.085,0.92887
2.09,0.92872
2.095,0.92858
2.1,0.9283
2.105,0.92923
2.11,0.92891
2.115,0.93077
2.12,0.92889
2.125,0.93028
2.13,0.92773
2.135,0.92754
2.14,0.92627
2.145,0.92878
2.15,0.92821
2.155,0.92715
2.16,0.92445
2.165,0.92499
2.17,0.92628
2.175,0.92671
2.18,0.92598
2.185,0.92577
2.19,0.92485
2.195,0.92493
2.2,0.9231
2.205,0.92505
2.21,0.92423
2.215,0.92401
2.22,0.92371
2.225,0.92284
2.23,0.92272
2.235,0.92116
2.24,0.92013
2.245,0.91721
2.25,0.91654
2.255,0.91333
2.26,0.91035
2.265,0.90596
2.27,0.90277
2.275,0.90001
2.28,0.89801
2.285,0.89612
2.29,0.89537
2.295,0.89251
2.3,0.89028
2.305,0.88914
2.31,0.88823
2.315,0.88806
2.32,0.89184
2.325,0.89337
2.33,0.897
2.335,0.90018
2.34,0.89888
2.345,0.9005
2.35,0.89919
2.355,0.90031
2.36,0.9
2.365,0.90049
2.37,0.90071
2.375,0.90199
2.38,0.90237
2.385,0.9004
2.39,0.89916
2.395,0.89919
2.4,0.89725
2.405,0.89865
2.41,0.89846
2.415,0.89959
2.42,0.90109
2.425,0.90203
2.43,0.90134
2.435,0.89988
2.44,0.89851
2.445,0.89455
2.45,0.89098
2.455,0.88752
2.46,0.88383
2.465,0.88387
2.47,0.88542
2.475,0.88907
2.48,0.88832
2.485,0.89038
2.49,0.88875
2.495,0.89033
2.5,0.88801
2.505,0.88699
2.51,0.88667
2.515,0.88889
2.52,0.89001
2.525,0.88907
2.53,0.8881
2.535,0.89726
2.54,0.8944
2.545,0.89559
2.55,0.89942
2.555,0.89541
2.56,0.88492
2.565,0.91966
2.57,0.90355
2.575,0.90465
2.58,0.89371
2.585,0.90862
2.59,0.90286
2.595,0.91454
2.6,0.89981
