KC-OPX-hvn_4,
W,R
0.4,0.16062
0.405,0.16368
0.41,0.16687
0.415,0.17034
0.42,0.17316
0.425,0.17612
0.43,0.17942
0.435,0.18237
0.44,0.18479
0.445,0.18686
0.45,0.1898
0.455,0.19282
0.46,0.19557
0.465,0.19772
0.47,0.19959
0.475,0.20149
0.48,0.20377
0.485,0.2065
0.49,0.20924
0.495,0.21153
0.5,0.21337
0.505,0.21524
0.51,0.21779
0.515,0.22032
0.52,0.22242
0.525,0.2244
0.53,0.2263
0.535,0.22801
0.54,0.22923
0.545,0.23101
0.55,0.23288
0.555,0.23492
0.56,0.23677
0.565,0.23865
0.57,0.24064
0.575,0.24231
0.58,0.24402
0.585,0.24582
0.59,0.2476
0.595,0.24934
0.6,0.25149
0.605,0.25338
0.61,0.25499
0.615,0.2568
0.62,0.25913
0.625,0.26088
0.63,0.26289
0.635,0.26505
0.64,0.26724
0.645,0.26944
0.65,0.27174
0.655,0.27402
0.66,0.27641
0.665,0.27884
0.67,0.28133
0.675,0.28381
0.68,0.28648
0.685,0.28904
0.69,0.29159
0.695,0.29418
0.7,0.29672
0.705,0.29922
0.71,0.30175
0.715,0.30412
0.72,0.30666
0.725,0.30882
0.73,0.31059
0.735,0.31235
0.74,0.31382
0.745,0.31491
0.75,0.31571
0.755,0.31608
0.76,0.31602
0.765,0.31542
0.77,0.3144
0.775,0.31264
0.78,0.31043
0.785,0.30761
0.79,0.30417
0.795,0.30017
0.8,0.29573
0.805,0.29097
0.81,0.2858
0.815,0.28051
0.82,0.27498
0.825,0.26965
0.83,0.26403
0.835,0.258
0.84,0.25335
0.845,0.24854
0.85,0.24375
0.855,0.23455
0.86,0.23023
0.865,0.22638
0.87,0.2232
0.875,0.22001
0.88,0.21748
0.885,0.21525
0.89,0.21337
0.895,0.21191
0.9,0.21087
0.905,0.21045
0.91,0.21033
0.915,0.21057
0.92,0.21097
0.925,0.21215
0.93,0.21376
0.935,0.21582
0.94,0.21839
0.945,0.22138
0.95,0.22466
0.955,0.22853
0.96,0.23265
0.965,0.23641
0.97,0.2413
0.975,0.24663
0.98,0.25225
0.985,0.25811
0.99,0.26434
0.995,0.27064
1,0.27706
1.005,0.28372
1.01,0.29052
1.015,0.29734
1.02,0.30401
1.025,0.31085
1.03,0.31771
1.035,0.32457
1.04,0.33129
1.045,0.33794
1.05,0.34408
1.055,0.35031
1.06,0.35615
1.065,0.36183
1.07,0.36743
1.075,0.37302
1.08,0.3781
1.085,0.38248
1.09,0.38745
1.095,0.39183
1.1,0.3967
1.05,0.34487
1.055,0.35118
1.06,0.35739
1.065,0.36293
1.07,0.36835
1.075,0.37376
1.08,0.37874
1.085,0.38407
1.09,0.38826
1.095,0.38958
1.1,0.39684
1.105,0.40089
1.11,0.40407
1.115,0.40684
1.12,0.41022
1.125,0.41328
1.13,0.41581
1.135,0.41886
1.14,0.42143
1.145,0.42406
1.15,0.42635
1.155,0.42851
1.16,0.43121
1.165,0.4329
1.17,0.43607
1.175,0.43818
1.18,0.44025
1.185,0.44144
1.19,0.44306
1.195,0.44456
1.2,0.44578
1.205,0.44728
1.21,0.44854
1.215,0.44969
1.22,0.45153
1.225,0.45271
1.23,0.45346
1.235,0.45516
1.24,0.45562
1.245,0.45672
1.25,0.45821
1.255,0.45891
1.26,0.45981
1.265,0.46024
1.27,0.46083
1.275,0.461
1.28,0.46148
1.285,0.46191
1.29,0.46204
1.295,0.46215
1.3,0.46209
1.305,0.46194
1.31,0.4615
1.315,0.46122
1.32,0.46077
1.325,0.46003
1.33,0.45897
1.335,0.45759
1.34,0.45597
1.345,0.45381
1.35,0.45239
1.355,0.45047
1.36,0.4482
1.365,0.44627
1.37,0.44421
1.375,0.44226
1.38,0.44057
1.385,0.43886
1.39,0.43732
1.395,0.43601
1.4,0.43453
1.405,0.43335
1.41,0.43215
1.415,0.43091
1.42,0.42941
1.425,0.42779
1.43,0.42595
1.435,0.42393
1.44,0.42188
1.445,0.41936
1.45,0.41765
1.455,0.41505
1.46,0.41262
1.465,0.41037
1.47,0.40775
1.475,0.40523
1.48,0.40266
1.485,0.39999
1.49,0.39768
1.495,0.39495
1.5,0.39255
1.505,0.38995
1.51,0.38739
1.515,0.38459
1.52,0.38199
1.525,0.37927
1.53,0.37666
1.535,0.37403
1.54,0.37144
1.545,0.36896
1.55,0.36645
1.555,0.36379
1.56,0.36161
1.565,0.35923
1.57,0.35672
1.575,0.35456
1.58,0.35213
1.585,0.34976
1.59,0.34753
1.595,0.34543
1.6,0.34455
1.605,0.34223
1.61,0.33998
1.615,0.33792
1.62,0.33576
1.625,0.33383
1.63,0.33184
1.635,0.32992
1.64,0.32821
1.645,0.32641
1.65,0.32451
1.655,0.3229
1.66,0.32132
1.665,0.3197
1.67,0.31824
1.675,0.31666
1.68,0.31543
1.685,0.31402
1.69,0.31265
1.695,0.31131
1.7,0.31002
1.705,0.30866
1.71,0.30738
1.715,0.30614
1.72,0.30494
1.725,0.30381
1.73,0.30292
1.735,0.30198
1.74,0.30112
1.745,0.30018
1.75,0.29932
1.755,0.29848
1.76,0.29759
1.765,0.29688
1.77,0.29628
1.775,0.29566
1.78,0.29498
1.785,0.29436
1.79,0.29367
1.795,0.29314
1.8,0.29246
1.805,0.2919
1.81,0.29111
1.815,0.29048
1.82,0.28969
1.825,0.28925
1.83,0.28871
1.835,0.28843
1.84,0.28856
1.845,0.2886
1.85,0.2888
1.855,0.28908
1.86,0.28959
1.865,0.2901
1.87,0.29036
1.875,0.29147
1.88,0.29203
1.885,0.29264
1.89,0.29315
1.895,0.29383
1.9,0.29471
1.905,0.29567
1.91,0.29684
1.915,0.29827
1.92,0.29974
1.925,0.30167
1.93,0.30347
1.935,0.30536
1.94,0.30709
1.945,0.30905
1.95,0.31089
1.955,0.31294
1.96,0.31491
1.965,0.3168
1.97,0.31874
1.975,0.32081
1.98,0.32232
1.985,0.32522
1.99,0.32726
1.995,0.32954
2,0.33191
2.005,0.33412
2.01,0.33665
2.015,0.33945
2.02,0.34198
2.025,0.34448
2.03,0.34714
2.035,0.34992
2.04,0.35266
2.045,0.35526
2.05,0.35774
2.055,0.36074
2.06,0.3636
2.065,0.36651
2.07,0.36945
2.075,0.37218
2.08,0.37573
2.085,0.37881
2.09,0.38201
2.095,0.38507
2.1,0.38848
2.105,0.39164
2.11,0.39496
2.115,0.39831
2.12,0.40148
2.125,0.40449
2.13,0.40729
2.135,0.4103
2.14,0.41334
2.145,0.4161
2.15,0.41909
2.155,0.42166
2.16,0.42427
2.165,0.42706
2.17,0.42986
2.175,0.43287
2.18,0.43544
2.185,0.43826
2.19,0.44085
2.195,0.44367
2.2,0.44576
2.205,0.44862
2.21,0.45101
2.215,0.45331
2.22,0.45565
2.225,0.45805
2.23,0.46018
2.235,0.46348
2.24,0.4641
2.245,0.46645
2.25,0.46909
2.255,0.4712
2.26,0.47318
2.265,0.47541
2.27,0.47751
2.275,0.47903
2.28,0.48026
2.285,0.48111
2.29,0.48192
2.295,0.48172
2.3,0.4822
2.305,0.48266
2.31,0.48346
2.315,0.48452
2.32,0.48628
2.325,0.48804
2.33,0.49043
2.335,0.49299
2.34,0.49538
2.345,0.49764
2.35,0.49983
2.355,0.50182
2.36,0.50366
2.365,0.50503
2.37,0.50583
2.375,0.50659
2.38,0.50722
2.385,0.50759
2.39,0.50772
2.395,0.50888
2.4,0.50992
2.405,0.51128
2.41,0.51185
2.415,0.51288
2.42,0.51299
2.425,0.51272
2.43,0.51323
2.435,0.51342
2.44,0.51528
2.445,0.51364
2.45,0.51361
2.455,0.51363
2.46,0.51363
2.465,0.51344
2.47,0.51371
2.475,0.51391
2.48,0.51423
2.485,0.51402
2.49,0.51458
2.495,0.51466
2.5,0.51647
