Brown University Keck/NASA Relab Spectrum PO-LAM-088-A/CHPO88,
W,R
0.3,0.11579
0.305,0.11376
0.31,0.11291
0.315,0.11724
0.32,0.12097
0.325,0.12752
0.33,0.13557
0.335,0.14921
0.34,0.1688
0.345,0.19697
0.35,0.23669
0.355,0.28321
0.36,0.32635
0.365,0.36303
0.37,0.3892
0.375,0.40663
0.38,0.41763
0.385,0.42978
0.39,0.4492
0.395,0.46925
0.4,0.48487
0.405,0.51418
0.41,0.54643
0.415,0.55797
0.42,0.56417
0.425,0.56387
0.43,0.56501
0.435,0.57073
0.44,0.57959
0.445,0.58115
0.45,0.57601
0.455,0.58531
0.46,0.60541
0.465,0.62141
0.47,0.62829
0.475,0.6483
0.48,0.66808
0.485,0.66577
0.49,0.66445
0.495,0.6667
0.5,0.69972
0.505,0.72434
0.51,0.73808
0.515,0.74499
0.52,0.75259
0.525,0.75633
0.53,0.76249
0.535,0.77457
0.54,0.78651
0.545,0.79516
0.55,0.80262
0.555,0.80786
0.56,0.80957
0.565,0.80952
0.57,0.80858
0.575,0.80518
0.58,0.79989
0.585,0.79545
0.59,0.79116
0.595,0.78719
0.6,0.78283
0.605,0.77785
0.61,0.77268
0.615,0.76449
0.62,0.75856
0.625,0.7508
0.63,0.74678
0.635,0.74426
0.64,0.74639
0.645,0.74767
0.65,0.74906
0.655,0.75401
0.66,0.75675
0.665,0.75899
0.67,0.75839
0.675,0.75364
0.68,0.75182
0.685,0.74616
0.69,0.73938
0.695,0.73132
0.7,0.72081
0.705,0.71107
0.71,0.69995
0.715,0.68852
0.72,0.67732
0.725,0.66415
0.73,0.64952
0.735,0.63653
0.74,0.62201
0.745,0.6067
0.75,0.58954
0.755,0.5722
0.76,0.55542
0.765,0.53898
0.77,0.52475
0.775,0.50746
0.78,0.49379
0.785,0.478
0.79,0.46423
0.795,0.45098
0.8,0.43793
0.805,0.4271
0.81,0.41689
0.815,0.40675
0.82,0.39626
0.825,0.38757
0.83,0.37865
0.835,0.37136
0.84,0.36378
0.845,0.35673
0.85,0.3506
0.855,0.34402
0.86,0.33779
0.865,0.33413
0.87,0.3272
0.875,0.3213
0.88,0.31552
0.885,0.30971
0.89,0.30322
0.895,0.29708
0.9,0.29055
0.905,0.28562
0.91,0.27904
0.915,0.27179
0.92,0.2633
0.925,0.25624
0.93,0.24783
0.935,0.24157
0.94,0.23296
0.945,0.22588
0.95,0.21851
0.955,0.21191
0.96,0.20461
0.965,0.19718
0.97,0.19162
0.975,0.18554
0.98,0.17977
0.985,0.17442
0.99,0.17029
0.995,0.16691
1,0.16232
1.005,0.15883
1.01,0.15561
1.015,0.15213
1.02,0.14965
1.025,0.14753
1.03,0.14528
1.035,0.14361
1.04,0.14252
1.045,0.1402
1.05,0.13891
1.055,0.13806
1.06,0.13785
1.065,0.13737
1.07,0.13757
1.075,0.1373
1.08,0.13808
1.085,0.13906
1.09,0.1399
1.095,0.14147
1.1,0.14298
1.105,0.14515
1.11,0.1472
1.115,0.15
1.12,0.15254
1.125,0.15518
1.13,0.15824
1.135,0.16173
1.14,0.16491
1.145,0.16817
1.15,0.17169
1.155,0.17463
1.16,0.17765
1.165,0.18111
1.17,0.18416
1.175,0.18665
1.18,0.18921
1.185,0.19178
1.19,0.19515
1.195,0.19958
1.2,0.205
1.205,0.20796
1.21,0.21187
1.215,0.21594
1.22,0.21937
1.225,0.22221
1.23,0.22568
1.235,0.22904
1.24,0.23353
1.245,0.23717
1.25,0.2419
1.255,0.2462
1.26,0.24979
1.265,0.2538
1.27,0.25891
1.275,0.26376
1.28,0.26911
1.285,0.27436
1.29,0.28007
1.295,0.28472
1.3,0.29059
1.305,0.29698
1.31,0.30336
1.315,0.30954
1.32,0.31583
1.325,0.32249
1.33,0.32954
1.335,0.33688
1.34,0.34447
1.345,0.35242
1.35,0.35895
1.355,0.36559
1.36,0.3743
1.365,0.38095
1.37,0.39101
1.375,0.40083
1.38,0.40931
1.385,0.41636
1.39,0.4294
1.395,0.43868
1.4,0.44951
1.405,0.46035
1.41,0.47016
1.415,0.48078
1.42,0.49048
1.425,0.5007
1.43,0.51069
1.435,0.52201
1.44,0.53291
1.445,0.54381
1.45,0.55562
1.455,0.56711
1.46,0.57851
1.465,0.58927
1.47,0.60055
1.475,0.61132
1.48,0.62174
1.485,0.63203
1.49,0.6423
1.495,0.65293
1.5,0.66291
1.505,0.67311
1.51,0.68256
1.515,0.69243
1.52,0.70149
1.525,0.71001
1.53,0.71907
1.535,0.72759
1.54,0.73468
1.545,0.74211
1.55,0.74996
1.555,0.7574
1.56,0.76515
1.565,0.77076
1.57,0.77793
1.575,0.78369
1.58,0.78951
1.585,0.79552
1.59,0.80104
1.595,0.79931
1.6,0.80413
1.605,0.80782
1.61,0.81251
1.615,0.81591
1.62,0.81989
1.625,0.82356
1.63,0.8267
1.635,0.82898
1.64,0.8314
1.645,0.83328
1.65,0.83287
1.655,0.83525
1.66,0.83914
1.665,0.83686
1.67,0.8323
1.675,0.83177
1.68,0.83732
1.685,0.83869
1.69,0.83649
1.695,0.83643
1.7,0.83673
1.705,0.83748
1.71,0.83973
1.715,0.84254
1.72,0.84356
1.725,0.84433
1.73,0.84567
1.735,0.84686
1.74,0.84785
1.745,0.84938
1.75,0.85272
1.755,0.85343
1.76,0.85464
1.765,0.85572
1.77,0.85619
1.775,0.85827
1.78,0.85877
1.785,0.86031
1.79,0.86155
1.795,0.86041
1.8,0.86222
1.805,0.86182
1.81,0.86078
1.815,0.86046
1.82,0.86126
1.825,0.86227
1.83,0.86272
1.835,0.86205
1.84,0.86634
1.845,0.86627
1.85,0.86856
1.855,0.86752
1.86,0.87135
1.865,0.86637
1.87,0.86587
1.875,0.8737
1.88,0.87128
1.885,0.87149
1.89,0.87053
1.895,0.8676
1.9,0.8633
1.905,0.86642
1.91,0.86438
1.915,0.86526
1.92,0.86505
1.925,0.86671
1.93,0.86605
1.935,0.86689
1.94,0.86825
1.945,0.86874
1.95,0.8698
1.955,0.87047
1.96,0.87143
1.965,0.87238
1.97,0.87185
1.975,0.87343
1.98,0.87398
1.985,0.87314
1.99,0.87384
1.995,0.87423
2,0.87449
2.005,0.87442
2.01,0.87447
2.015,0.8741
2.02,0.87312
2.025,0.87319
2.03,0.87209
2.035,0.87225
2.04,0.87246
2.045,0.87089
2.05,0.87038
2.055,0.86937
2.06,0.86797
2.065,0.86694
2.07,0.86684
2.075,0.86612
2.08,0.86583
2.085,0.86401
2.09,0.86341
2.095,0.86277
2.1,0.86349
2.105,0.86434
2.11,0.86267
2.115,0.86491
2.12,0.86325
2.125,0.86335
2.13,0.86042
2.135,0.8584
2.14,0.85793
2.145,0.86145
2.15,0.86115
2.155,0.86001
2.16,0.85573
2.165,0.8558
2.17,0.85964
2.175,0.86071
2.18,0.86082
2.185,0.86022
2.19,0.85949
2.195,0.85884
2.2,0.85799
2.205,0.85843
2.21,0.85845
2.215,0.85859
2.22,0.85809
2.225,0.85845
2.23,0.85716
2.235,0.85519
2.24,0.85364
2.245,0.85075
2.25,0.84806
2.255,0.84276
2.26,0.83727
2.265,0.83023
2.27,0.82428
2.275,0.82052
2.28,0.81785
2.285,0.81508
2.29,0.81202
2.295,0.80893
2.3,0.80572
2.305,0.80393
2.31,0.80286
2.315,0.80277
2.32,0.80834
2.325,0.8113
2.33,0.81648
2.335,0.82003
2.34,0.81975
2.345,0.82082
2.35,0.82029
2.355,0.82104
2.36,0.82086
2.365,0.8205
2.37,0.82055
2.375,0.82255
2.38,0.82276
2.385,0.82213
2.39,0.82021
2.395,0.82013
2.4,0.81866
2.405,0.81937
2.41,0.82077
2.415,0.82241
2.42,0.82524
2.425,0.82481
2.43,0.82395
2.435,0.822
2.44,0.81875
2.445,0.81281
2.45,0.80712
2.455,0.80209
2.46,0.79698
2.465,0.79842
2.47,0.80102
2.475,0.80526
2.48,0.80586
2.485,0.80693
2.49,0.80598
2.495,0.80692
2.5,0.80472
2.505,0.8036
2.51,0.8041
2.515,0.80551
2.52,0.80831
2.525,0.80854
2.53,0.80876
2.535,0.8169
2.54,0.8131
2.545,0.81571
2.55,0.8217
2.555,0.81692
2.56,0.80617
2.565,0.83836
2.57,0.82578
2.575,0.82842
2.58,0.81891
2.585,0.8297
2.59,0.82351
2.595,0.83757
2.6,0.82568
